"Gene","Correlation"
"ISLR",1
"AL137856.1",0.462908515343273
"NUTM2G",0.462908515343273
"FAM155A",0.355381391539787
"SLC22A2",0.280813294775229
"AC133106.1",0.271661458359371
"AC024941.2",0.271661458359371
"AC007192.2",0.271661458359371
"AP001267.1",0.268006763575976
"BX470102.1",0.256177520332342
"SPDEF",0.256177520332342
"SNAP91",0.256177520332342
"AP002989.1",0.256177520332342
"AC103810.5",0.256177520332342
"WFDC2",0.256177520332342
"AC092295.2",0.256177520332342
"ULBP3",0.254895069495535
"NDST1-AS1",0.254358374711379
"GCC2-AS1",0.246984805106542
"DCLK1",0.239440510018523
"LINC01775",0.238470802722684
"AC021683.3",0.228614604024217
"AL022328.4",0.228426249789555
"Z98200.1",0.225458723777051
"OVCH1-AS1",0.221431415272447
"SLC24A3",0.218831143431744
"CD81-AS1",0.217665633264418
"SV2A",0.213202739501222
"SMOC1",0.211620154087634
"RASGEF1B",0.21046213205071
"FAIM2",0.210347600245885
"MAP3K8",0.209123262271037
"GAS1",0.208804390505123
"HMCN1",0.207520827901577
"AC090971.1",0.206532795990254
"AC093752.3",0.205381260542109
"FBLN2",0.204138425872211
"AC074099.1",0.203005561827054
"PTGIS",0.197728498057091
"BAMBI",0.196651717245986
"COL12A1",0.196068530100849
"BMX",0.19543003798814
"TBC1D30",0.195244666182308
"COL3A1",0.194737356043489
"NLRP1",0.194629617627478
"TNFAIP6",0.193463933041703
"HGF",0.193046025380181
"AC026427.1",0.191125926296444
"AC090907.1",0.191125926296444
"AP001099.1",0.191125926296444
"PTP4A3",0.191014753860224
"PLCB1",0.190852339737988
"AL356277.3",0.190481865957541
"FAM183A",0.190037092366609
"SERPINF1",0.18993903183453
"HPGD",0.189202793542175
"MYLPF",0.189102532192885
"CCDC177",0.18881091526171
"RBP1",0.188678727481314
"RAMP1",0.187969241535469
"CTHRC1",0.186392583077268
"HTRA3",0.184713294343279
"HOXC4",0.183738040895965
"FN1",0.183408662449434
"AC022517.1",0.183064532487704
"EDIL3",0.181922949824175
"COL1A1",0.18171606431831
"FBN1",0.180695401136449
"FGL2",0.180594671916216
"DOCK8",0.179829926905457
"CTIF",0.178349405206685
"DMC1",0.178324476427063
"GATA6-AS1",0.178030164656181
"AANAT",0.177545624773995
"COL1A2",0.175754759126005
"COL5A2",0.175737421787235
"NDRG2",0.175234151660049
"DNAJC1",0.175034711495869
"STC2",0.17478535945907
"PTGER2",0.174672450721278
"PAPPA",0.174651097448205
"RAB3A",0.174368589630524
"MAMDC2-AS1",0.172816433300868
"ADGRF4",0.172525366815373
"LTBP1",0.170516117663512
"STK4-AS1",0.170481850890489
"SLC22A17",0.169779976182169
"FKBP10",0.169097414592603
"CACNA1A",0.168330425245006
"IQCA1",0.168186268223071
"DHRS3",0.168117016818773
"CYP1B1",0.167705916722335
"DDX3Y",0.165984468519116
"LINC00472",0.165736995866053
"FADS1",0.165011349685953
"COL5A1",0.164938122888113
"SERPING1",0.164555699317284
"AL606748.1",0.164108367015726
"NPR3",0.163209836549676
"AC084337.2",0.163133132821231
"AC114763.2",0.162863762336793
"SLFN13",0.162471523897761
"GPX7",0.162326452564474
"LY6E",0.162159683266659
"C1R",0.16196871723019
"CLSTN1",0.161830503220964
"CDH11",0.161197866054409
"CDH2",0.161080484566532
"LRP1",0.160595649079477
"ADAMTS2",0.160051466673747
"APOA1",0.158872533898903
"SPARC",0.158553534027383
"SERAC1",0.158113974100649
"C3",0.157924265583712
"AC145212.1",0.156995720344788
"SCARB1",0.156661301739979
"LOXL2",0.155961423720608
"LMCD1",0.155684973988611
"DACT2",0.155633666548048
"AC005091.1",0.155346629158727
"GPRC5C",0.154821244987684
"TMEM50B",0.154290834552815
"PIEZO2",0.154269773612809
"ICAM1",0.154197668800921
"AL161729.1",0.15386444196822
"AMIGO2",0.15366617629057
"TTC3-AS1",0.153399853594888
"THNSL2",0.153084047388094
"APLP1",0.152732770837133
"SLIT3",0.152730505619248
"OR52N1",0.15212617322401
"TPD52",0.151989554882327
"ZNF521",0.151613849804298
"FAM71A",0.151501972435968
"CCL2",0.151325350868438
"LRRC75B",0.150929758119443
"AL691432.2",0.150709611749145
"DM1-AS",0.150704022675495
"ACTN2",0.150632854983514
"CADM2",0.150390264115213
"TMX4",0.150090936100344
"SPOCK1",0.150063801039834
"C15orf59",0.150040166059463
"AC104564.1",0.14978697103715
"MRC2",0.149540606341257
