,exclusive_genes to neoCDC,islr_genes_co_expression_subsetted by neonatalCDC,
1,AL645608.2,AURKAIP1,180
2,LINC01770,RPL22,180
3,AL365330.1,PARK7,180
4,LINC01714,ENO1,180
5,AL354956.1,SRM,180
6,LINC01647,CAPZB,180
7,AL354712.1,CDC42,180
8,KLHDC7A,RPL11,180
9,PLA2G2D,CLIC4,180
10,UBXN10,SH3BGRL3,180
11,FAM43B,EIF3I,180
12,CELA3B,PSMB2,180
13,OPRD1,EVA1B,180
14,AC092265.1,C1orf122,180
15,AL137027.1,NDUFS5,180
16,DCDC2B,YBX1,180
17,AL442071.1,RPS8,180
18,BMP8A,PRDX1,180
19,HEYL,UQCRH,180
20,LINC01562,SERBP1,180
21,SHISAL2A,GNG5,180
22,AL357673.2,RPL5,180
23,SSBP3-AS1,RHOC,180
24,AC119674.1,CSDE1,180
25,AC099792.1,PSMB4,180
26,AL357078.1,S100A10,180
27,RPE65,S100A11,180
28,AL031429.1,S100A6,180
29,AL136382.1,S100A13,180
30,GBP7,RPS27,180
31,AC099063.4,TPM3,180
32,BRDT,SSR2,180
33,AC104836.1,LAMTOR2,180
34,GPR88,LMNA,180
35,LINC01307,CCT3,180
36,LINC01709,TAGLN2,180
37,AMY1B,MGST3,180
38,AL355306.2,PRDX6,180
39,GPR61,ARPC5,180
40,AL450468.2,CSRP1,180
41,AL355816.1,NUCKS1,180
42,AL603832.2,H3F3A,180
43,LINC01765,ARF1,180
44,CA14,GUK1,180
45,AL590133.2,TOMM20,180
46,AL391335.1,ACP1,180
47,AL365181.1,PXDN,180
48,AL590666.1,RPS7,180
49,ETV3L,YWHAQ,180
50,ATP1A2,PDIA6,180
51,CFAP126,OST4,180
52,AL592295.4,COX7A2L,180
53,FCGR2B,CALM2,180
54,AL357568.1,RTN4,180
55,RCSD1,RPS27A,180
56,FMO1,ACTR2,180
57,TNN,SNRPG,180
58,BRINP2,CCT7,180
59,AL449106.1,TMSB10,180
60,BRINP3,COX5B,180
61,ELF3-AS1,RPL31,180
62,AC098934.4,MZT2B,180
63,LEMD1-AS1,ATP5MC3,180
64,IL10,SUMO1,180
65,LINC01698,EEF1B2,180
66,AL590648.2,FN1,180
67,AC011700.1,XRCC5,180
68,AL360093.1,RPL37A,180
69,SLC30A10,ARPC2,180
70,AC093152.1,NCL,180
71,AC092809.4,PTMA,180
72,AL512343.2,EIF4E2,180
73,AL353593.2,COPS9,180
74,AL160408.1,BRK1,180
75,AL359551.1,RPL32,180
76,AC009486.1,RPL15,180
77,AC079145.1,RPSA,180
78,DRC1,RPL14,180
79,C2orf70,TMA7,180
80,TRIM54,RHOA,180
81,GTF3C2-AS1,GNAI2,180
82,CAPN14,MANF,180
83,OXER1,RPL29,180
84,NRXN1,NT5DC2,180
85,LINC00309,SPCS1,180
86,CD207,TKT,180
87,EGR4,ARF4,180
88,AC073263.1,ARL6IP5,180
89,AC104135.1,RPL24,180
90,AC015971.1,FSTL1,180
91,RGPD2,NDUFB4,180
92,ANKRD20A8P,RNF7,180
93,AC159540.2,PLOD2,180
94,VWA3B,SERP1,180
95,AC092667.1,SSR3,180
96,IL36G,RPL22L1,180
97,AC017074.1,AP2M1,180
98,AC018866.1,PSMD2,180
99,TFCP2L1,RPL35A,180
100,AC010976.1,MRFAP1,180
101,POTEF,RPL9,180
102,PRSS40A,IGFBP7,180
103,AC011893.1,CXCL8,180
104,THSD7B,11-Sep,180
105,LINC01931,CCNI,180
106,LINC01920,H2AFZ,180
107,ITGB6,UBE2D3,180
108,AC009299.3,RPL34,180
109,AC009495.2,OSTC,180
110,G6PC2,C4orf3,180
111,ABCB11,ANXA5,180
112,AC012594.1,RPS3A,180
113,DLX2-DT,NDUFS6,180
114,SP9,BASP1,180
115,HOXD11,SUB1,180
116,AC074286.1,RPL37,180
117,LINC01090,GPX8,180
118,MSTN,MAP1B,180
119,LINC01792,BTF3,180
120,AC007163.1,NSA2,180
121,ABCA12,RPS23,180
122,AC012462.2,VCAN,180
123,CXCR2,COX7C,180
124,ASIC4,REEP5,180
125,AC009502.1,LOX,180
126,NYAP2,HINT1,180
127,AC009950.1,UQCRQ,180
128,LINC01907,SKP1,180
129,GPR55,TGFBI,180
130,AC017104.3,RPS14,180
131,NMUR1,ANXA6,180
132,AC064874.1,SPARC,180
133,AC093802.1,NPM1,180
134,CHL1,ATP6V0E1,180
135,CNTN6,PRELID1,180
136,CNTN4,PDLIM7,180
137,CAV3,TMED9,180
138,AC090948.2,CANX,180
139,AC090948.3,SQSTM1,180
140,AC091493.1,RACK1,180
141,UBE2E2-AS1,HLA-A,180
142,LINC02033,TUBB,180
143,ITGA9,HLA-C,180
144,AC099329.3,CLIC1,180
145,FBXW12,RPS18,180
146,ITIH1,CUTA,180
147,AC006254.1,UQCC2,180
148,LINC02040,RPS10,180
149,FAM19A4,RPL10A,180
150,FRG2C,HSP90AB1,180
151,AC068756.1,EEF1A1,180
152,LINC01990,COX7A2,180
153,LINC01205,SNX3,180
154,AC128687.2,MARCKS,180
155,ARHGAP31-AS1,RPS12,180
156,NR1I2,SF3B5,180
157,ALDH1L1,DYNLT1,180
158,RUVBL1-AS1,ACTB,180
159,H1FOO,RAC1,180
160,BFSP2,KDELR2,180
161,SPSB4,NDUFA4,180
162,GRK7,TOMM7,180
163,HLTF-AS1,CYCS,180
164,P2RY14,HNRNPA2B1,180
