"","exclusive_genes_neo_100"
"1","AL669831.5"
"2","NOC2L"
"3","KLHL17"
"4","HES4"
"5","ISG15"
"6","AGRN"
"7","C1orf159"
"8","SDF4"
"9","B3GALT6"
"10","UBE2J2"
"11","ACAP3"
"12","PUSL1"
"13","INTS11"
"14","CPTP"
"15","DVL1"
"16","MXRA8"
"17","AURKAIP1"
"18","CCNL2"
"19","MRPL20"
"20","VWA1"
"21","ATAD3B"
"22","ATAD3A"
"23","SSU72"
"24","FNDC10"
"25","MIB2"
"26","MMP23B"
"27","CDK11B"
"28","SLC35E2B"
"29","CDK11A"
"30","SLC35E2A"
"31","NADK"
"32","GNB1"
"33","FAAP20"
"34","SKI"
"35","MORN1"
"36","RER1"
"37","PEX10"
"38","TNFRSF14"
"39","FAM213B"
"40","TPRG1L"
"41","WRAP73"
"42","SMIM1"
"43","LRRC47"
"44","CEP104"
"45","DFFB"
"46","C1orf174"
"47","NPHP4"
"48","KCNAB2"
"49","RPL22"
"50","RNF207"
"51","ICMT"
"52","GPR153"
"53","ACOT7"
"54","TNFRSF25"
"55","PLEKHG5"
"56","NOL9"
"57","ZBTB48"
"58","KLHL21"
"59","PHF13"
"60","THAP3"
"61","DNAJC11"
"62","CAMTA1"
"63","VAMP3"
"64","PARK7"
"65","ERRFI1"
"66","RERE"
"67","ENO1"
"68","LINC01759"
"69","H6PD"
"70","SPSB1"
"71","SLC25A33"
"72","TMEM201"
"73","PIK3CD"
"74","CLSTN1"
"75","CTNNBIP1"
"76","LZIC"
"77","NMNAT1"
"78","UBE4B"
"79","KIF1B"
"80","PGD"
"81","CENPS"
"82","DFFA"
"83","PEX14"
"84","TARDBP"
"85","SRM"
"86","EXOSC10"
"87","MTOR"
"88","UBIAD1"
"89","MAD2L2"
"90","AGTRAP"
"91","MTHFR"
"92","CLCN6"
"93","KIAA2013"
"94","PLOD1"
"95","MFN2"
"96","MIIP"
"97","VPS13D"
"98","DHRS3"
"99","PDPN"
"100","PRDM2"
"101","KAZN"
"102","TMEM51"
"103","EFHD2"
"104","DNAJC16"
"105","DDI2"
"106","PLEKHM2"
"107","FBLIM1"
"108","UQCRHL"
"109","AL450998.2"
"110","SPEN"
"111","ZBTB17"
"112","EPHA2"
"113","ARHGEF19"
"114","FBXO42"
"115","SZRD1"
"116","NECAP2"
"117","NBPF1"
"118","CROCC"
"119","MFAP2"
"120","ATP13A2"
"121","SDHB"
"122","RCC2"
"123","ARHGEF10L"
"124","ALDH4A1"
"125","IFFO2"
"126","UBR4"
"127","EMC1"
"128","MRTO4"
"129","AKR7A2"
"130","PQLC2"
"131","CAPZB"
"132","MINOS1"
"133","NBL1"
"134","OTUD3"
"135","CAMK2N1"
"136","MUL1"
"137","CDA"
"138","PINK1"
"139","DDOST"
"140","HP1BP3"
"141","EIF4G3"
"142","ECE1"
"143","USP48"
"144","HSPG2"
"145","CDC42"
"146","ZBTB40"
"147","EPHB2"
"148","KDM1A"
"149","LUZP1"
"150","HNRNPR"
"151","ID3"
"152","RPL11"
"153","ELOA"
"154","PITHD1"
"155","LYPLA2"
"156","GALE"
"157","HMGCL"
"158","FUCA1"
"159","PNRC2"
"160","SRSF10"
"161","STPG1"
"162","NIPAL3"
"163","SRRM1"
"164","CLIC4"
"165","SYF2"
"166","RSRP1"
"167","TMEM50A"
"168","MACO1"
"169","LDLRAP1"
"170","SELENON"
"171","MTFR1L"
"172","PAQR7"
"173","STMN1"
"174","PAFAH2"
"175","ZNF593"
"176","SH3BGRL3"
"177","UBXN11"
"178","DHDDS"
"179","HMGN2"
"180","ARID1A"
"181","PIGV"
"182","ZDHHC18"
"183","GPN2"
"184","GPATCH3"
"185","NUDC"
"186","TRNP1"
"187","SLC9A1"
"188","WDTC1"
"189","TMEM222"
"190","MAP3K6"
"191","WASF2"
"192","AHDC1"
"193","IFI6"
"194","FAM76A"
"195","STX12"
"196","PPP1R8"
"197","THEMIS2"
"198","RPA2"
"199","XKR8"
"200","EYA3"
"201","DNAJC8"
"202","ATP5IF1"
"203","SESN2"
"204","MED18"
"205","PHACTR4"
"206","RCC1"
"207","TRNAU1AP"
"208","SNHG12"
"209","TAF12"
"210","GMEB1"
"211","YTHDF2"
"212","EPB41"
"213","SRSF4"
"214","MECR"
"215","SDC3"
"216","PUM1"
"217","SNRNP40"
"218","ZCCHC17"
"219","SERINC2"
"220","TINAGL1"
"221","PEF1"
"222","COL16A1"
"223","ADGRB2"
"224","SPOCD1"
"225","PTP4A2"
"226","KHDRBS1"
"227","TMEM39B"
"228","KPNA6"
"229","TXLNA"
"230","CCDC28B"
"231","TMEM234"
"232","EIF3I"
"233","FAM167B"
"234","HDAC1"
"235","MARCKSL1"
"236","BSDC1"
"237","ZBTB8A"
"238","ZBTB8OS"
"239","RBBP4"
"240","SYNC"
"241","YARS"
"242","S100PBP"
"243","TMEM54"
"244","RNF19B"
"245","AK2"
"246","ZNF362"
"247","PHC2"
"248","SMIM12"
"249","ZMYM6"
"250","ZMYM1"
"251","SFPQ"
"252","ZMYM4"
"253","KIAA0319L"
"254","NCDN"
"255","PSMB2"
"256","C1orf216"
"257","CLSPN"
"258","AGO4"
"259","AGO1"
"260","AGO3"
"261","ADPRHL2"
"262","TRAPPC3"
"263","MAP7D1"
"264","THRAP3"
"265","EVA1B"
"266","STK40"
"267","LSM10"
"268","OSCP1"
"269","MRPS15"
"270","LINC01137"
"271","ZC3H12A"
"272","MEAF6"
"273","SNIP1"
"274","DNALI1"
"275","GNL2"
"276","C1orf109"
"277","CDCA8"
"278","YRDC"
"279","C1orf122"
"280","MTF1"
"281","INPP5B"
"282","SF3A3"
"283","FHL3"
"284","UTP11"
"285","RRAGC"
"286","AL139260.1"
"287","MYCBP"
"288","AKIRIN1"
"289","NDUFS5"
"290","MACF1"
"291","PABPC4"
"292","PPIE"
"293","TRIT1"
"294","MFSD2A"
"295","CAP1"
"296","PPT1"
"297","RLF"
"298","AL050341.2"
"299","ZMPSTE24"
"300","SMAP2"
"301","ZFP69B"
"302","EXO5"
"303","ZNF684"
"304","NFYC"
"305","CITED4"
"306","CTPS1"
"307","SCMH1"
"308","HIVEP3"
"309","FOXJ3"
"310","PPCS"
"311","PPIH"
"312","YBX1"
"313","P3H1"
"314","C1orf50"
"315","SVBP"
"316","SLC2A1"
"317","EBNA1BP2"
"318","TIE1"
"319","CDC20"
"320","ELOVL1"
"321","MED8"
"322","SZT2"
"323","HYI"
"324","PTPRF"
"325","KDM4A"
"326","ST3GAL3"
"327","IPO13"
"328","DPH2"
"329","ATP6V0B"
"330","B4GALT2"
"331","DMAP1"
"332","ERI3"
"333","RNF220"
"334","TMEM53"
"335","KIF2C"
"336","RPS8"
"337","PLK3"
"338","BTBD19"
"339","EIF2B3"
"340","HECTD3"
"341","UROD"
"342","MUTYH"
"343","TOE1"
"344","PRDX1"
"345","AKR1A1"
"346","NASP"
"347","GPBP1L1"
"348","TMEM69"
"349","IPP"
"350","MAST2"
"351","PIK3R3"
"352","POMGNT1"
"353","LURAP1"
"354","LRRC41"
"355","UQCRH"
"356","NSUN4"
"357","MKNK1"
"358","ATPAF1"
"359","EFCAB14"
"360","STIL"
"361","CMPK1"
"362","SPATA6"
"363","FAF1"
"364","CDKN2C"
"365","RNF11"
"366","EPS15"
"367","OSBPL9"
"368","NRDC"
"369","RAB3B"
"370","TXNDC12"
"371","KTI12"
"372","BTF3L4"
"373","ZFYVE9"
"374","CC2D1B"
"375","PRPF38A"
"376","TUT4"
"377","GPX7"
"378","COA7"
"379","ZYG11B"
"380","ECHDC2"
"381","SCP2"
"382","CPT2"
"383","C1orf123"
"384","MAGOH"
"385","LRP8"
"386","NDC1"
"387","YIPF1"
"388","HSPB11"
"389","LRRC42"
"390","TMEM59"
"391","TCEANC2"
"392","CYB5RL"
"393","MRPL37"
"394","SSBP3"
"395","TTC4"
"396","DHCR24"
"397","USP24"
"398","PLPP3"
"399","OMA1"
"400","MYSM1"
"401","JUN"
"402","FGGY"
"403","NFIA"
"404","TM2D1"
"405","USP1"
"406","DOCK7"
"407","ATG4C"
"408","ALG6"
"409","ITGB3BP"
"410","PGM1"
"411","ROR1"
"412","RAVER2"
"413","JAK1"
"414","AK4"
"415","LEPROT"
