"","coexpression_counts"
"MIR1302-2HG",0
"FAM138A",0
"OR4F5",0
"AL627309.1",0
"AL627309.3",0
"AL627309.2",0
"AL627309.4",0
"AL732372.1",0
"OR4F29",0
"AC114498.1",0
"OR4F16",0
"AL669831.2",0
"AL669831.5",9
"FAM87B",2
"LINC00115",1
"FAM41C",11
"AL645608.7",0
"AL645608.3",0
"AL645608.5",0
"AL645608.1",0
"SAMD11",1
"NOC2L",52
"KLHL17",13
"PLEKHN1",10
"PERM1",0
"AL645608.8",2
"HES4",33
"ISG15",55
"AL645608.2",0
"AGRN",41
"AL645608.9",0
"RNF223",0
"C1orf159",11
"LINC01342",0
"AL390719.2",0
"TTLL10-AS1",0
"TTLL10",0
"TNFRSF18",0
"TNFRSF4",1
"SDF4",56
"B3GALT6",43
"C1QTNF12",2
"AL162741.1",0
"UBE2J2",51
"LINC01786",0
"SCNN1D",2
"ACAP3",23
"PUSL1",39
"INTS11",49
"CPTP",28
"TAS1R3",0
"DVL1",38
"MXRA8",54
"AURKAIP1",56
"CCNL2",47
"MRPL20",56
"AL391244.3",1
"ANKRD65",0
"AL391244.2",0
"TMEM88B",0
"LINC01770",0
"VWA1",12
"ATAD3C",2
"ATAD3B",42
"ATAD3A",45
"TMEM240",3
"SSU72",56
"AL645728.1",4
"FNDC10",21
"AL691432.2",10
"MIB2",38
"MMP23B",24
"CDK11B",41
"FO704657.1",1
"SLC35E2B",15
"CDK11A",27
"SLC35E2A",5
"NADK",34
"GNB1",56
"AL109917.1",1
"CALML6",0
"TMEM52",2
"CFAP74",0
"AL391845.2",0
"GABRD",1
"AL391845.1",0
"PRKCZ",2
"AL590822.2",0
"PRKCZ-AS1",1
"FAAP20",53
"AL590822.1",0
"SKI",43
"MORN1",9
"RER1",56
"PEX10",34
"PLCH2",0
"AL139246.1",0
"AL139246.4",0
"PANK4",4
"HES5",0
"AL139246.5",1
"TNFRSF14-AS1",0
"TNFRSF14",14
"AL139246.3",0
"FAM213B",23
"MMEL1",0
"AL831784.1",0
"TTC34",0
"AC242022.1",0
"AL592464.2",0
"AL592464.1",0
"AL589702.1",0
"ACTRT2",0
"LINC00982",0
"PRDM16",1
"AL008733.1",0
"AL590438.1",0
"ARHGEF16",0
"AL512413.1",0
"MEGF6",4
"AL513320.1",0
"TPRG1L",43
"WRAP73",25
"TP73",0
"AL136528.1",0
"AL136528.2",0
"CCDC27",0
"SMIM1",7
"LRRC47",34
"AL365330.1",0
"CEP104",34
"DFFB",12
"C1orf174",38
"LINC01134",0
"LINC01346",0
"LINC01345",0
"AL805961.1",0
"AL805961.2",0
"LINC01777",0
"AL355602.1",0
"Z98747.1",0
"LINC01646",0
"AJAP1",0
"BX005132.2",0
"BX005132.1",0
"AL691497.1",0
"AL139823.1",0
"Z98259.3",0
"Z98259.2",0
"Z98259.1",0
"AL365255.1",0
"NPHP4",10
"KCNAB2",8
"CHD5",0
"RPL22",56
"AL031847.1",0
"RNF207",13
"ICMT",46
"LINC00337",0
"HES3",0
"GPR153",7
"ACOT7",51
"AL031848.2",1
"HES2",2
"ESPN",0
"AL031848.1",0
"TNFRSF25",11
"PLEKHG5",26
"NOL9",35
"TAS1R1",0
"ZBTB48",7
"KLHL21",38
"PHF13",28
"THAP3",22
"DNAJC11",38
"LINC01672",0
"AL591163.1",0
"CAMTA1-DT",0
"CAMTA1",55
"AL512330.1",0
"Z97987.1",0
"AL365194.1",0
"AL359881.3",0
"AL359881.2",0
"AL359881.1",0
"VAMP3",51
"PER3",5
"Z98884.1",0
"UTS2",0
"TNFRSF9",10
"PARK7",56
"AL034417.4",0
"AL034417.3",1
"ERRFI1",27
"AL034417.2",1
"LINC01714",0
"AL358876.2",0
"SLC45A1",1
"RERE",44
"AL096855.1",0
"AL357552.2",0
"ENO1",56
"ENO1-AS1",4
"CA6",0
"SLC2A7",0
"SLC2A5",2
"GPR157",6
"MIR34AHG",15
"LINC01759",8
"H6PD",25
"SPSB1",50
"BX323043.1",0
"AL928921.2",3
"AL928921.1",0
"SLC25A33",32
"TMEM201",16
"PIK3CD",27
"PIK3CD-AS1",0
"PIK3CD-AS2",7
"CLSTN1",56
"CTNNBIP1",45
"AL357140.1",0
"LZIC",45
"NMNAT1",19
"RBP7",2
"UBE4B",37
"KIF1B",43
"AL139424.3",0
"AL139424.2",1
"PGD",53
"AL139424.1",1
"CENPS-CORT",2
"CENPS",32
"CORT",0
"DFFA",54
"AL354956.1",0
"PEX14",29
"CASZ1",0
"AL139423.1",0
"C1orf127",0
"TARDBP",49
"AL109811.4",0
"MASP2",0
"AL109811.3",0
"SRM",56
"EXOSC10",38
"AL109811.1",0
"AL109811.2",5
"MTOR",30
"MTOR-AS1",0
"ANGPTL7",0
"UBIAD1",22
"AL031291.1",0
"DISP3",0
"LINC01647",0
"AL031731.1",0
"FBXO2",1
"FBXO44",7
"FBXO6",2
"MAD2L2",33
"DRAXIN",1
"AGTRAP",56
"C1orf167",0
"AL953897.1",0
"MTHFR",16
"CLCN6",10
"NPPA-AS1",1
"NPPA",0
"NPPB",6
"KIAA2013",51
"PLOD1",55
"MFN2",37
"MIIP",33
"TNFRSF8",0
"TNFRSF1B",8
"VPS13D",33
"AC243836.1",0
"DHRS3",54
"AC254633.1",0
"AADACL4",0
"AADACL3",0
"C1orf158",0
"PRAMEF12",0
"PRAMEF1",0
"LINC01784",0
"PRAMEF11",0
"HNRNPCL1",0
"PRAMEF2",0
"PRAMEF4",0
"PRAMEF10",0
"PRAMEF7",0
"PRAMEF6",0
"PRAMEF27",0
"HNRNPCL3",0
"PRAMEF25",0
"HNRNPCL2",0
"AC245056.1",0
"PRAMEF26",0
"HNRNPCL4",0
"PRAMEF9",0
"PRAMEF13",0
"PRAMEF18",0
"PRAMEF5",0
"PRAMEF8",0
"PRAMEF33",0
"PRAMEF15",0
"AC243961.1",0
"PRAMEF14",0
"PRAMEF19",0
"PRAMEF17",0
"PRAMEF20",0
"LRRC38",6
"AL354712.1",0
"PDPN",18
"AL359771.1",0
"PRDM2",35
"KAZN",18
"AL357873.1",0
"KAZN-AS1",0
"TMEM51-AS1",0
"TMEM51",29
"C1orf195",0
"FHAD1",2
"AL031283.2",0
"AL031283.3",0
"AL031283.1",0
"EFHD2",53
"CTRC",0
"CELA2A",0
"CELA2B",0
"CASP9",9
"DNAJC16",37
"AL121992.3",0
"AGMAT",1
"AL121992.1",0
"DDI2",32
"RSC1A1",0
"AL121992.2",0
"PLEKHM2",47
"AL450998.3",0
"SLC25A34",2
"SLC25A34-AS1",4
"TMEM82",0
"FBLIM1",55
"UQCRHL",43
"AL450998.2",12
"SPEN",47
"ZBTB17",23
"SRARP",0
"AL355994.3",0
"HSPB7",3
"CLCNKA",0
"CLCNKB",0
"FAM131C",0
"EPHA2",25
"AL451042.2",2
"AL451042.1",1
"ARHGEF19-AS1",0
"ARHGEF19",10
"CPLANE2",4
"FBXO42",27
"SZRD1",54
"SPATA21",0
"NECAP2",46
"LINC01772",3
"AL137802.2",0
"AL137802.1",0
"LINC01783",2
"NBPF1",12
"AL137798.1",0
"AL137798.2",0
"AL021920.1",0
"AL021920.3",0
"CROCC",7
"BX284668.1",0
"BX284668.2",3
"BX284668.5",8
"BX284668.6",0
"MFAP2",38
"AL049569.1",0
"ATP13A2",35
"SDHB",56
"PADI2",0
"AL590644.1",0
"AL590644.3",0
"PADI1",0
"PADI3",0
"PADI4",0
"PADI6",0
"AC004824.1",0
"RCC2",37
"ARHGEF10L",13
"AL136529.1",0
"ACTL8",0
"AL357509.1",0
"LINC01654",0
"IGSF21",0
"IGSF21-AS1",0
"AL591896.1",0
"KLHDC7A",0
"PAX7",0
"TAS1R2",0
"AL080251.1",0
"ALDH4A1",14
"IFFO2",17
"UBR4",53
"AL035413.1",4
"EMC1",50
"MRTO4",53
"AKR7A3",3
"AKR7A2",55
"PQLC2",26
"CAPZB",56
"AL031727.2",0
"MINOS1",56
"NBL1",50
"MINOS1-NBL1",0
"HTR6",0
"TMCO4",15
"RNF186",0
"AL391883.1",0
"OTUD3",17
"PLA2G2E",0
"PLA2G2A",0
"PLA2G5",0
"PLA2G2D",0
"PLA2G2F",0
"Z98257.1",0
"PLA2G2C",0
"UBXN10-AS1",1
"UBXN10",0
"LINC01757",0
"Z98257.2",0
"VWA5B1",0
"AL020998.1",0
"LINC01141",0
"AL139254.1",0
"AL139254.2",0
"AL139254.3",0
"CAMK2N1",53
"MUL1",33
"FAM43B",0
"CDA",13
"PINK1",43
"PINK1-AS",4
"DDOST",56
"KIF17",1
"SH2D5",11
"AL663074.1",0
"HP1BP3",55
"EIF4G3",55
"ECE1",54
"AL031005.1",0
"AL031728.1",0
"AL592309.2",0
"NBPF3",6
"ALPL",6
"AL359815.1",0
"RAP1GAP",0
"USP48",55
"LDLRAD2",3
"HSPG2",54
"CELA3B",0
"CELA3A",0
"LINC01635",1
"CDC42",56
"AL031281.2",0
"WNT4",0
"ZBTB40",18
"EPHA8",0
"C1QA",0
"C1QC",0
"C1QB",0
"EPHB2",27
"AL512444.1",0
"LACTBL1",0
"TEX46",0
"KDM1A",47
"AL031428.1",0
"LUZP1",53
"HTR1D",1
"LINC01355",3
"AL109936.6",0
"HNRNPR",56
"ZNF436",3
"ZNF436-AS1",5
"AL109936.2",0
"TCEA3",7
"ASAP3",5
"E2F2",1
"AL021154.1",0
"ID3",54
"MDS2",0
"RPL11",56
"ELOA",50
"ELOA-AS1",7
"PITHD1",43
"LYPLA2",46
"GALE",45
"HMGCL",40
"FUCA1",14
"CNR2",0
"AL590609.3",0
"PNRC2",51
"SRSF10",55
"AL591178.1",0
"MYOM3",0
"AL591178.2",0
"IL22RA1",0
"IFNLR1",1
"AL590683.1",0
"AL138902.1",0
"GRHL3",0
"STPG1",11
"NIPAL3",29
"RCAN3",22
"AL445686.2",2
"NCMAP",0
"SRRM1",56
"AL445648.1",0
"CLIC4",56
"RUNX3",0
"AL445471.1",0
"AL445471.2",0
"AL050344.1",0
"AL031432.1",0
"SYF2",52
"AL031432.5",0
"RSRP1",46
"AL031432.3",4
"RHD",0
"TMEM50A",56
"RHCE",1
"MACO1",49
"LDLRAP1",21
"AL606491.1",1
"MAN1C1",0
"AL031280.1",0
"SELENON",37
"AL020996.2",0
"AL020996.1",1
"MTFR1L",43
"AL020996.3",0
"AUNIP",6
"AL033528.2",0
"PAQR7",16
"STMN1",49
"PAFAH2",5
"EXTL1",0
"SLC30A2",0
"TRIM63",0
"PDIK1L",9
"FAM110D",0
"C1orf232",0
"AL391650.1",0
"ZNF593",55
"CNKSR1",1
"CATSPER4",0
"CEP85",14
"SH3BGRL3",56
"UBXN11",11
"CD52",0
"CRYBG2",1
"ZNF683",0
"LIN28A",0
"DHDDS",40
"AL513365.2",0
"HMGN2",56
"RPS6KA1",6
"AL512408.1",0
"ARID1A",50
"PIGV",23
"ZDHHC18",15
"SFN",3
"AL034380.1",0
"GPN2",38
"GPATCH3",11
"NUDC",56
"NR0B2",0
"KDF1",0
"TRNP1",26
"TENT5B",3
"SLC9A1",32
"AL590640.1",0
"WDTC1",17
"TMEM222",41
"SYTL1",0
"MAP3K6",18
"FCN3",0
"CD164L2",0
"GPR3",2
"WASF2",54
"FO393419.2",0
"BX293535.1",0
"AHDC1",20
"FGR",0
"LINC02574",0
"IFI6",34
"AL445490.1",0
"FAM76A",30
"STX12",52
"PPP1R8",39
"THEMIS2",14
"RPA2",32
"SMPDL3B",0
"AL512288.1",0
"XKR8",24
"EYA3",25
"PTAFR",1
"DNAJC8",56
"ATP5IF1",56
"AL353622.1",0
"AL353622.2",0
"SESN2",31
"MED18",18
"PHACTR4",41
"RCC1",33
"TRNAU1AP",45
"SNHG12",16
"TAF12",53
"RAB42",6
"LINC01715",1
"AL360012.1",0
"GMEB1",31
"YTHDF2",54
"OPRD1",0
"AL009181.1",0
"EPB41",14
"TMEM200B",6
"AL357500.1",0
"SRSF4",52
"MECR",34
"AL590729.1",0
"PTPRU",2
"LINC01756",0
"AC092265.1",0
"AL645944.2",0
"LINC01648",0
"AL137076.1",0
"AL161638.2",0
"AL161638.1",0
"MATN1",0
"MATN1-AS1",2
"LAPTM5",0
"AL137027.1",0
"LINC01778",1
"AL445235.1",0
"SDC3",25
"PUM1",52
"NKAIN1",0
"SNRNP40",46
"ZCCHC17",54
"AL451070.1",0
"FABP3",1
"SERINC2",37
"AC114488.1",0
"TINAGL1",10
"HCRTR1",1
"PEF1",52
"AC114488.2",0
"AC114488.3",0
"COL16A1",44
"ADGRB2",14
"AL354919.2",0
"SPOCD1",51
"AL354919.1",0
"AL136115.2",0
"PTP4A2",56
"AL136115.1",0
"AL136115.3",0
"KHDRBS1",56
"AL445248.1",2
"TMEM39B",33
"KPNA6",54
"TXLNA",46
"CCDC28B",41
"AL049795.1",1
"IQCC",2
"DCDC2B",0
"TMEM234",34
"EIF3I",56
"FAM167B",10
"LCK",0
"HDAC1",53
"MARCKSL1",55
"AL109945.1",0
"TSSK3",0
"FAM229A",4
"BSDC1",36
"AL033529.1",0
"ZBTB8B",0
"ZBTB8A",18
"ZBTB8OS",54
"RBBP4",43
"SYNC",50
"AC114489.1",0
"KIAA1522",8
"YARS",52
"S100PBP",31
"FNDC5",1
"HPCA",0
"TMEM54",48
"RNF19B",20
"AL020995.1",0
"AK2",52
"AZIN2",3
"TRIM62",8
