"","coexpression_counts"
"MIR1302-2HG",0
"FAM138A",0
"OR4F5",0
"AL627309.1",0
"AL627309.3",0
"AL627309.2",0
"AL627309.4",0
"AL732372.1",0
"OR4F29",0
"AC114498.1",0
"OR4F16",0
"AL669831.2",0
"AL669831.5",12
"FAM87B",3
"LINC00115",1
"FAM41C",3
"AL645608.7",0
"AL645608.3",1
"AL645608.5",0
"AL645608.1",0
"SAMD11",4
"NOC2L",45
"KLHL17",6
"PLEKHN1",1
"PERM1",0
"AL645608.8",3
"HES4",77
"ISG15",93
"AL645608.2",0
"AGRN",84
"AL645608.9",0
"RNF223",0
"C1orf159",7
"LINC01342",0
"AL390719.2",0
"TTLL10-AS1",0
"TTLL10",0
"TNFRSF18",0
"TNFRSF4",0
"SDF4",130
"B3GALT6",56
"C1QTNF12",2
"AL162741.1",0
"UBE2J2",89
"LINC01786",0
"SCNN1D",0
"ACAP3",36
"PUSL1",37
"INTS11",53
"CPTP",26
"TAS1R3",0
"DVL1",36
"MXRA8",124
"AURKAIP1",142
"CCNL2",55
"MRPL20",134
"AL391244.3",2
"ANKRD65",1
"AL391244.2",0
"TMEM88B",0
"LINC01770",0
"VWA1",4
"ATAD3C",3
"ATAD3B",26
"ATAD3A",44
"TMEM240",5
"SSU72",144
"AL645728.1",5
"FNDC10",35
"AL691432.2",11
"MIB2",41
"MMP23B",116
"CDK11B",67
"FO704657.1",0
"SLC35E2B",16
"CDK11A",25
"SLC35E2A",10
"NADK",43
"GNB1",118
"AL109917.1",0
"CALML6",1
"TMEM52",3
"CFAP74",0
"AL391845.2",0
"GABRD",0
"AL391845.1",0
"PRKCZ",9
"AL590822.2",0
"PRKCZ-AS1",2
"FAAP20",139
"AL590822.1",0
"SKI",53
"MORN1",5
"RER1",128
"PEX10",36
"PLCH2",0
"AL139246.1",0
"AL139246.4",0
"PANK4",9
"HES5",0
"AL139246.5",0
"TNFRSF14-AS1",0
"TNFRSF14",6
"AL139246.3",0
"FAM213B",23
"MMEL1",0
"AL831784.1",0
"TTC34",0
"AC242022.1",0
"AL592464.2",0
"AL592464.1",0
"AL589702.1",0
"ACTRT2",0
"LINC00982",4
"PRDM16",7
"AL008733.1",0
"AL590438.1",0
"ARHGEF16",0
"AL512413.1",0
"MEGF6",104
"AL513320.1",0
"TPRG1L",53
"WRAP73",22
"TP73",0
"AL136528.1",0
"AL136528.2",0
"CCDC27",0
"SMIM1",11
"LRRC47",49
"AL365330.1",0
"CEP104",24
"DFFB",6
"C1orf174",37
"LINC01134",1
"LINC01346",0
"LINC01345",0
"AL805961.1",0
"AL805961.2",0
"LINC01777",0
"AL355602.1",0
"Z98747.1",0
"LINC01646",0
"AJAP1",0
"BX005132.2",0
"BX005132.1",0
"AL691497.1",0
"AL139823.1",0
"Z98259.3",0
"Z98259.2",0
"Z98259.1",0
"AL365255.1",0
"NPHP4",6
"KCNAB2",6
"CHD5",1
"RPL22",153
"AL031847.1",2
"RNF207",16
"ICMT",65
"LINC00337",0
"HES3",0
"GPR153",1
"ACOT7",50
"AL031848.2",0
"HES2",1
"ESPN",0
"AL031848.1",0
"TNFRSF25",5
"PLEKHG5",5
"NOL9",19
"TAS1R1",0
"ZBTB48",3
"KLHL21",53
"PHF13",19
"THAP3",24
"DNAJC11",16
"LINC01672",0
"AL591163.1",0
"CAMTA1-DT",0
"CAMTA1",133
"AL512330.1",0
"Z97987.1",0
"AL365194.1",0
"AL359881.3",0
"AL359881.2",0
"AL359881.1",0
"VAMP3",91
"PER3",13
"Z98884.1",0
"UTS2",0
"TNFRSF9",2
"PARK7",149
"AL034417.4",0
"AL034417.3",1
"ERRFI1",77
"AL034417.2",1
"LINC01714",0
"AL358876.2",0
"SLC45A1",4
"RERE",68
"AL096855.1",0
"AL357552.2",0
"ENO1",152
"ENO1-AS1",2
"CA6",0
"SLC2A7",0
"SLC2A5",11
"GPR157",6
"MIR34AHG",3
"LINC01759",18
"H6PD",29
"SPSB1",30
"BX323043.1",0
"AL928921.2",1
"AL928921.1",0
"SLC25A33",37
"TMEM201",10
"PIK3CD",8
"PIK3CD-AS1",0
"PIK3CD-AS2",28
"CLSTN1",70
"CTNNBIP1",48
"AL357140.1",0
"LZIC",23
"NMNAT1",14
"RBP7",1
"UBE4B",29
"KIF1B",54
"AL139424.3",0
"AL139424.2",0
"PGD",63
"AL139424.1",0
"CENPS-CORT",2
"CENPS",21
"CORT",1
"DFFA",41
"AL354956.1",0
"PEX14",16
"CASZ1",1
"AL139423.1",0
"C1orf127",0
"TARDBP",57
"AL109811.4",0
"MASP2",0
"AL109811.3",5
"SRM",140
"EXOSC10",20
"AL109811.1",0
"AL109811.2",3
"MTOR",9
"MTOR-AS1",0
"ANGPTL7",0
"UBIAD1",22
"AL031291.1",0
"DISP3",0
"LINC01647",0
"AL031731.1",0
"FBXO2",10
"FBXO44",15
"FBXO6",1
"MAD2L2",51
"DRAXIN",0
"AGTRAP",48
"C1orf167",3
"AL953897.1",0
"MTHFR",4
"CLCN6",18
"NPPA-AS1",1
"NPPA",0
"NPPB",64
"KIAA2013",62
"PLOD1",110
"MFN2",23
"MIIP",35
"TNFRSF8",0
"TNFRSF1B",0
"VPS13D",21
"AC243836.1",0
"DHRS3",100
"AC254633.1",1
"AADACL4",0
"AADACL3",0
"C1orf158",0
"PRAMEF12",0
"PRAMEF1",0
"LINC01784",0
"PRAMEF11",0
"HNRNPCL1",0
"PRAMEF2",0
"PRAMEF4",0
"PRAMEF10",0
"PRAMEF7",0
"PRAMEF6",0
"PRAMEF27",0
"HNRNPCL3",0
"PRAMEF25",0
"HNRNPCL2",0
"AC245056.1",0
"PRAMEF26",0
"HNRNPCL4",0
"PRAMEF9",0
"PRAMEF13",0
"PRAMEF18",0
"PRAMEF5",0
"PRAMEF8",0
"PRAMEF33",0
"PRAMEF15",0
"AC243961.1",0
"PRAMEF14",0
"PRAMEF19",0
"PRAMEF17",0
"PRAMEF20",0
"LRRC38",0
"AL354712.1",0
"PDPN",34
"AL359771.1",0
"PRDM2",38
"KAZN",39
"AL357873.1",0
"KAZN-AS1",0
"TMEM51-AS1",0
"TMEM51",8
"C1orf195",0
"FHAD1",0
"AL031283.2",0
"AL031283.3",0
"AL031283.1",0
"EFHD2",19
"CTRC",0
"CELA2A",0
"CELA2B",0
"CASP9",4
"DNAJC16",29
"AL121992.3",0
"AGMAT",2
"AL121992.1",0
"DDI2",20
"RSC1A1",0
"AL121992.2",0
"PLEKHM2",48
"AL450998.3",0
"SLC25A34",8
"SLC25A34-AS1",9
"TMEM82",0
"FBLIM1",103
"UQCRHL",9
"AL450998.2",8
"SPEN",25
"ZBTB17",17
"SRARP",0
"AL355994.3",0
"HSPB7",33
"CLCNKA",0
"CLCNKB",0
"FAM131C",1
"EPHA2",50
"AL451042.2",0
"AL451042.1",0
"ARHGEF19-AS1",0
"ARHGEF19",1
"CPLANE2",1
"FBXO42",17
"SZRD1",82
"SPATA21",0
"NECAP2",47
"LINC01772",0
"AL137802.2",0
"AL137802.1",0
"LINC01783",0
"NBPF1",16
"AL137798.1",0
"AL137798.2",0
"AL021920.1",0
"AL021920.3",0
"CROCC",12
"BX284668.1",0
"BX284668.2",2
"BX284668.5",17
"BX284668.6",0
"MFAP2",65
"AL049569.1",0
"ATP13A2",30
"SDHB",103
"PADI2",4
"AL590644.1",0
"AL590644.3",0
"PADI1",4
"PADI3",0
"PADI4",0
"PADI6",0
"AC004824.1",0
"RCC2",41
"ARHGEF10L",11
"AL136529.1",0
"ACTL8",0
"AL357509.1",0
"LINC01654",0
"IGSF21",0
"IGSF21-AS1",0
"AL591896.1",0
"KLHDC7A",0
"PAX7",0
"TAS1R2",0
"AL080251.1",0
"ALDH4A1",10
"IFFO2",8
"UBR4",54
"AL035413.1",6
"EMC1",30
"MRTO4",48
"AKR7A3",0
"AKR7A2",104
"PQLC2",20
"CAPZB",143
"AL031727.2",0
"MINOS1",146
"NBL1",103
"MINOS1-NBL1",0
"HTR6",0
"TMCO4",9
"RNF186",0
"AL391883.1",0
"OTUD3",8
"PLA2G2E",0
"PLA2G2A",1
"PLA2G5",10
"PLA2G2D",0
"PLA2G2F",0
"Z98257.1",0
"PLA2G2C",0
"UBXN10-AS1",0
"UBXN10",0
"LINC01757",0
"Z98257.2",0
"VWA5B1",0
"AL020998.1",0
"LINC01141",0
"AL139254.1",0
"AL139254.2",0
"AL139254.3",0
"CAMK2N1",47
"MUL1",43
"FAM43B",0
"CDA",34
"PINK1",64
"PINK1-AS",1
"DDOST",107
"KIF17",0
"SH2D5",3
"AL663074.1",0
"HP1BP3",102
"EIF4G3",45
"ECE1",113
"AL031005.1",1
"AL031728.1",0
"AL592309.2",0
"NBPF3",1
"ALPL",1
"AL359815.1",0
"RAP1GAP",0
"USP48",42
"LDLRAD2",1
"HSPG2",139
"CELA3B",0
"CELA3A",0
"LINC01635",1
"CDC42",147
"AL031281.2",0
"WNT4",2
"ZBTB40",3
"EPHA8",2
"C1QA",0
"C1QC",0
"C1QB",0
"EPHB2",13
"AL512444.1",0
"LACTBL1",0
"TEX46",0
"KDM1A",40
"AL031428.1",0
"LUZP1",77
"HTR1D",0
"LINC01355",5
"AL109936.6",0
"HNRNPR",102
"ZNF436",5
"ZNF436-AS1",14
"AL109936.2",0
"TCEA3",11
"ASAP3",15
"E2F2",3
"AL021154.1",0
"ID3",141
"MDS2",0
"RPL11",153
"ELOA",38
"ELOA-AS1",8
"PITHD1",65
"LYPLA2",35
"GALE",23
"HMGCL",16
"FUCA1",22
"CNR2",0
"AL590609.3",0
"PNRC2",41
"SRSF10",79
"AL591178.1",0
"MYOM3",0
"AL591178.2",0
"IL22RA1",1
"IFNLR1",0
"AL590683.1",0
"AL138902.1",0
"GRHL3",0
"STPG1",14
"NIPAL3",35
"RCAN3",7
"AL445686.2",2
"NCMAP",0
"SRRM1",139
"AL445648.1",0
"CLIC4",146
"RUNX3",0
"AL445471.1",0
"AL445471.2",0
"AL050344.1",0
"AL031432.1",1
"SYF2",104
"AL031432.5",0
"RSRP1",17
"AL031432.3",0
"RHD",0
"TMEM50A",115
"RHCE",0
"MACO1",20
"LDLRAP1",35
"AL606491.1",2
"MAN1C1",9
"AL031280.1",1
"SELENON",51
"AL020996.2",0
"AL020996.1",0
"MTFR1L",57
"AL020996.3",0
"AUNIP",1
"AL033528.2",0
"PAQR7",15
"STMN1",71
"PAFAH2",3
"EXTL1",4
"SLC30A2",1
"TRIM63",0
"PDIK1L",1
"FAM110D",1
"C1orf232",0
"AL391650.1",0
"ZNF593",100
"CNKSR1",3
"CATSPER4",0
"CEP85",2
"SH3BGRL3",153
"UBXN11",17
"CD52",0
"CRYBG2",0
"ZNF683",0
"LIN28A",0
"DHDDS",28
"AL513365.2",0
"HMGN2",129
"RPS6KA1",6
"AL512408.1",0
"ARID1A",73
"PIGV",15
"ZDHHC18",13
"SFN",4
"AL034380.1",0
"GPN2",28
"GPATCH3",11
"NUDC",109
"NR0B2",0
"KDF1",0
"TRNP1",28
"TENT5B",18
"SLC9A1",25
"AL590640.1",0
"WDTC1",42
"TMEM222",55
"SYTL1",0
"MAP3K6",13
"FCN3",0
"CD164L2",0
"GPR3",1
"WASF2",114
"FO393419.2",0
"BX293535.1",0
"AHDC1",42
"FGR",0
"LINC02574",0
"IFI6",54
"AL445490.1",0
"FAM76A",27
"STX12",67
"PPP1R8",28
"THEMIS2",0
"RPA2",32
"SMPDL3B",0
"AL512288.1",0
"XKR8",9
"EYA3",15
"PTAFR",0
"DNAJC8",118
"ATP5IF1",146
"AL353622.1",0
"AL353622.2",0
"SESN2",28
"MED18",4
"PHACTR4",36
"RCC1",48
"TRNAU1AP",28
"SNHG12",28
"TAF12",55
"RAB42",3
"LINC01715",1
"AL360012.1",2
"GMEB1",11
"YTHDF2",96
"OPRD1",0
"AL009181.1",0
"EPB41",13
"TMEM200B",3
"AL357500.1",0
"SRSF4",61
"MECR",42
"AL590729.1",0
"PTPRU",5
"LINC01756",0
"AC092265.1",0
"AL645944.2",0
"LINC01648",0
"AL137076.1",0
"AL161638.2",0
"AL161638.1",0
"MATN1",1
"MATN1-AS1",0
"LAPTM5",0
"AL137027.1",0
"LINC01778",3
"AL445235.1",0
"SDC3",51
"PUM1",69
"NKAIN1",0
"SNRNP40",55
"ZCCHC17",83
"AL451070.1",0
"FABP3",7
"SERINC2",32
"AC114488.1",0
"TINAGL1",108
"HCRTR1",0
"PEF1",65
"AC114488.2",0
"AC114488.3",0
"COL16A1",66
"ADGRB2",11
"AL354919.2",0
"SPOCD1",30
"AL354919.1",0
"AL136115.2",0
"PTP4A2",142
"AL136115.1",0
"AL136115.3",0
"KHDRBS1",99
"AL445248.1",0
"TMEM39B",18
"KPNA6",76
"TXLNA",62
"CCDC28B",33
"AL049795.1",1
"IQCC",0
"DCDC2B",0
"TMEM234",20
"EIF3I",122
"FAM167B",9
"LCK",0
"HDAC1",39
"MARCKSL1",128
"AL109945.1",0
"TSSK3",1
"FAM229A",11
"BSDC1",38
"AL033529.1",0
"ZBTB8B",2
"ZBTB8A",17
"ZBTB8OS",52
"RBBP4",101
"SYNC",96
"AC114489.1",0
"KIAA1522",15
"YARS",76
"S100PBP",29
"FNDC5",2
"HPCA",0
"TMEM54",25
"RNF19B",10
"AL020995.1",0
"AK2",72
"AZIN2",0
"TRIM62",4
