"","coexpression_counts"
"MIR1302-2HG",0
"FAM138A",0
"OR4F5",0
"AL627309.1",2
"AL627309.3",0
"AL627309.2",0
"AL627309.4",0
"AL732372.1",0
"OR4F29",0
"AC114498.1",0
"OR4F16",0
"AL669831.2",0
"AL669831.5",21
"FAM87B",2
"LINC00115",8
"FAM41C",22
"AL645608.7",0
"AL645608.3",2
"AL645608.5",0
"AL645608.1",0
"SAMD11",12
"NOC2L",165
"KLHL17",47
"PLEKHN1",16
"PERM1",1
"AL645608.8",15
"HES4",146
"ISG15",172
"AL645608.2",0
"AGRN",140
"AL645608.9",0
"RNF223",0
"C1orf159",44
"LINC01342",0
"AL390719.2",0
"TTLL10-AS1",0
"TTLL10",0
"TNFRSF18",0
"TNFRSF4",2
"SDF4",178
"B3GALT6",130
"C1QTNF12",11
"AL162741.1",5
"UBE2J2",164
"LINC01786",0
"SCNN1D",2
"ACAP3",81
"PUSL1",118
"INTS11",150
"CPTP",94
"TAS1R3",0
"DVL1",97
"MXRA8",164
"AURKAIP1",180
"CCNL2",154
"MRPL20",179
"AL391244.3",6
"ANKRD65",1
"AL391244.2",0
"TMEM88B",0
"LINC01770",0
"VWA1",39
"ATAD3C",0
"ATAD3B",131
"ATAD3A",139
"TMEM240",21
"SSU72",176
"AL645728.1",10
"FNDC10",83
"AL691432.2",27
"MIB2",98
"MMP23B",52
"CDK11B",106
"FO704657.1",4
"SLC35E2B",45
"CDK11A",94
"SLC35E2A",48
"NADK",100
"GNB1",179
"AL109917.1",2
"CALML6",0
"TMEM52",5
"CFAP74",0
"AL391845.2",0
"GABRD",0
"AL391845.1",0
"PRKCZ",10
"AL590822.2",1
"PRKCZ-AS1",4
"FAAP20",175
"AL590822.1",0
"SKI",130
"MORN1",32
"RER1",178
"PEX10",111
"PLCH2",0
"AL139246.1",0
"AL139246.4",0
"PANK4",12
"HES5",0
"AL139246.5",6
"TNFRSF14-AS1",0
"TNFRSF14",32
"AL139246.3",0
"FAM213B",65
"MMEL1",0
"AL831784.1",0
"TTC34",3
"AC242022.1",0
"AL592464.2",0
"AL592464.1",0
"AL589702.1",0
"ACTRT2",0
"LINC00982",2
"PRDM16",2
"AL008733.1",0
"AL590438.1",2
"ARHGEF16",9
"AL512413.1",0
"MEGF6",16
"AL513320.1",0
"TPRG1L",115
"WRAP73",69
"TP73",0
"AL136528.1",0
"AL136528.2",0
"CCDC27",0
"SMIM1",51
"LRRC47",122
"AL365330.1",0
"CEP104",113
"DFFB",32
"C1orf174",94
"LINC01134",3
"LINC01346",0
"LINC01345",0
"AL805961.1",0
"AL805961.2",0
"LINC01777",0
"AL355602.1",0
"Z98747.1",0
"LINC01646",0
"AJAP1",0
"BX005132.2",0
"BX005132.1",0
"AL691497.1",0
"AL139823.1",0
"Z98259.3",0
"Z98259.2",0
"Z98259.1",0
"AL365255.1",0
"NPHP4",42
"KCNAB2",45
"CHD5",1
"RPL22",180
"AL031847.1",8
"RNF207",77
"ICMT",125
"LINC00337",0
"HES3",0
"GPR153",28
"ACOT7",150
"AL031848.2",8
"HES2",4
"ESPN",1
"AL031848.1",0
"TNFRSF25",45
"PLEKHG5",77
"NOL9",135
"TAS1R1",0
"ZBTB48",42
"KLHL21",109
"PHF13",97
"THAP3",78
"DNAJC11",113
"LINC01672",0
"AL591163.1",0
"CAMTA1-DT",0
"CAMTA1",174
"AL512330.1",0
"Z97987.1",0
"AL365194.1",0
"AL359881.3",0
"AL359881.2",0
"AL359881.1",0
"VAMP3",159
"PER3",13
"Z98884.1",1
"UTS2",0
"TNFRSF9",67
"PARK7",180
"AL034417.4",5
"AL034417.3",1
"ERRFI1",86
"AL034417.2",4
"LINC01714",0
"AL358876.2",0
"SLC45A1",22
"RERE",146
"AL096855.1",0
"AL357552.2",0
"ENO1",180
"ENO1-AS1",7
"CA6",0
"SLC2A7",0
"SLC2A5",1
"GPR157",19
"MIR34AHG",23
"LINC01759",39
"H6PD",75
"SPSB1",125
"BX323043.1",0
"AL928921.2",7
"AL928921.1",0
"SLC25A33",94
"TMEM201",53
"PIK3CD",91
"PIK3CD-AS1",0
"PIK3CD-AS2",31
"CLSTN1",160
"CTNNBIP1",134
"AL357140.1",0
"LZIC",153
"NMNAT1",74
"RBP7",5
"UBE4B",116
"KIF1B",154
"AL139424.3",3
"AL139424.2",3
"PGD",154
"AL139424.1",1
"CENPS-CORT",1
"CENPS",82
"CORT",2
"DFFA",164
"AL354956.1",0
"PEX14",67
"CASZ1",0
"AL139423.1",0
"C1orf127",0
"TARDBP",138
"AL109811.4",0
"MASP2",1
"AL109811.3",3
"SRM",180
"EXOSC10",115
"AL109811.1",1
"AL109811.2",19
"MTOR",106
"MTOR-AS1",0
"ANGPTL7",0
"UBIAD1",79
"AL031291.1",0
"DISP3",0
"LINC01647",0
"AL031731.1",0
"FBXO2",5
"FBXO44",25
"FBXO6",7
"MAD2L2",97
"DRAXIN",1
"AGTRAP",170
"C1orf167",0
"AL953897.1",0
"MTHFR",65
"CLCN6",42
"NPPA-AS1",8
"NPPA",0
"NPPB",8
"KIAA2013",161
"PLOD1",177
"MFN2",112
"MIIP",85
"TNFRSF8",0
"TNFRSF1B",3
"VPS13D",98
"AC243836.1",0
"DHRS3",173
"AC254633.1",7
"AADACL4",0
"AADACL3",0
"C1orf158",0
"PRAMEF12",0
"PRAMEF1",0
"LINC01784",0
"PRAMEF11",0
"HNRNPCL1",3
"PRAMEF2",0
"PRAMEF4",0
"PRAMEF10",0
"PRAMEF7",0
"PRAMEF6",0
"PRAMEF27",0
"HNRNPCL3",0
"PRAMEF25",0
"HNRNPCL2",1
"AC245056.1",0
"PRAMEF26",0
"HNRNPCL4",0
"PRAMEF9",0
"PRAMEF13",0
"PRAMEF18",0
"PRAMEF5",0
"PRAMEF8",0
"PRAMEF33",0
"PRAMEF15",0
"AC243961.1",0
"PRAMEF14",0
"PRAMEF19",0
"PRAMEF17",0
"PRAMEF20",0
"LRRC38",58
"AL354712.1",1
"PDPN",112
"AL359771.1",0
"PRDM2",125
"KAZN",45
"AL357873.1",0
"KAZN-AS1",0
"TMEM51-AS1",0
"TMEM51",114
"C1orf195",0
"FHAD1",3
"AL031283.2",0
"AL031283.3",0
"AL031283.1",2
"EFHD2",145
"CTRC",0
"CELA2A",0
"CELA2B",0
"CASP9",28
"DNAJC16",94
"AL121992.3",0
"AGMAT",10
"AL121992.1",1
"DDI2",118
"RSC1A1",0
"AL121992.2",0
"PLEKHM2",140
"AL450998.3",0
"SLC25A34",3
"SLC25A34-AS1",3
"TMEM82",0
"FBLIM1",172
"UQCRHL",136
"AL450998.2",34
"SPEN",151
"ZBTB17",67
"SRARP",0
"AL355994.3",0
"HSPB7",2
"CLCNKA",0
"CLCNKB",0
"FAM131C",8
"EPHA2",63
"AL451042.2",3
"AL451042.1",0
"ARHGEF19-AS1",0
"ARHGEF19",52
"CPLANE2",19
"FBXO42",64
"SZRD1",160
"SPATA21",0
"NECAP2",142
"LINC01772",11
"AL137802.2",4
"AL137802.1",1
"LINC01783",3
"NBPF1",43
"AL137798.1",0
"AL137798.2",0
"AL021920.1",0
"AL021920.3",0
"CROCC",53
"BX284668.1",0
"BX284668.2",4
"BX284668.5",29
"BX284668.6",2
"MFAP2",164
"AL049569.1",0
"ATP13A2",136
"SDHB",164
"PADI2",0
"AL590644.1",4
"AL590644.3",0
"PADI1",0
"PADI3",0
"PADI4",0
"PADI6",0
"AC004824.1",0
"RCC2",121
"ARHGEF10L",52
"AL136529.1",0
"ACTL8",1
"AL357509.1",0
"LINC01654",0
"IGSF21",0
"IGSF21-AS1",0
"AL591896.1",0
"KLHDC7A",1
"PAX7",0
"TAS1R2",0
"AL080251.1",0
"ALDH4A1",38
"IFFO2",67
"UBR4",159
"AL035413.1",13
"EMC1",142
"MRTO4",163
"AKR7A3",0
"AKR7A2",168
"PQLC2",93
"CAPZB",180
"AL031727.2",0
"MINOS1",179
"NBL1",146
"MINOS1-NBL1",0
"HTR6",0
"TMCO4",23
"RNF186",0
"AL391883.1",0
"OTUD3",47
"PLA2G2E",0
"PLA2G2A",0
"PLA2G5",3
"PLA2G2D",0
"PLA2G2F",0
"Z98257.1",0
"PLA2G2C",0
"UBXN10-AS1",1
"UBXN10",1
"LINC01757",0
"Z98257.2",0
"VWA5B1",0
"AL020998.1",0
"LINC01141",0
"AL139254.1",0
"AL139254.2",0
"AL139254.3",0
"CAMK2N1",137
"MUL1",99
"FAM43B",0
"CDA",47
"PINK1",125
"PINK1-AS",6
"DDOST",176
"KIF17",2
"SH2D5",17
"AL663074.1",0
"HP1BP3",169
"EIF4G3",169
"ECE1",177
"AL031005.1",6
"AL031728.1",0
"AL592309.2",0
"NBPF3",8
"ALPL",6
"AL359815.1",0
"RAP1GAP",3
"USP48",164
"LDLRAD2",2
"HSPG2",173
"CELA3B",0
"CELA3A",0
"LINC01635",6
"CDC42",180
"AL031281.2",2
"WNT4",1
"ZBTB40",50
"EPHA8",0
"C1QA",0
"C1QC",0
"C1QB",0
"EPHB2",119
"AL512444.1",0
"LACTBL1",0
"TEX46",1
"KDM1A",158
"AL031428.1",0
"LUZP1",173
"HTR1D",2
"LINC01355",16
"AL109936.6",0
"HNRNPR",178
"ZNF436",13
"ZNF436-AS1",24
"AL109936.2",0
"TCEA3",23
"ASAP3",35
"E2F2",1
"AL021154.1",1
"ID3",174
"MDS2",2
"RPL11",180
"ELOA",160
"ELOA-AS1",18
"PITHD1",131
"LYPLA2",144
"GALE",134
"HMGCL",104
"FUCA1",34
"CNR2",0
"AL590609.3",0
"PNRC2",160
"SRSF10",169
"AL591178.1",0
"MYOM3",1
"AL591178.2",0
"IL22RA1",0
"IFNLR1",0
"AL590683.1",0
"AL138902.1",0
"GRHL3",0
"STPG1",50
"NIPAL3",55
"RCAN3",21
"AL445686.2",0
"NCMAP",0
"SRRM1",174
"AL445648.1",0
"CLIC4",180
"RUNX3",0
"AL445471.1",0
"AL445471.2",0
"AL050344.1",0
"AL031432.1",1
"SYF2",167
"AL031432.5",2
"RSRP1",140
"AL031432.3",2
"RHD",0
"TMEM50A",178
"RHCE",3
"MACO1",130
"LDLRAP1",58
"AL606491.1",3
"MAN1C1",1
"AL031280.1",0
"SELENON",124
"AL020996.2",0
"AL020996.1",0
"MTFR1L",122
"AL020996.3",0
"AUNIP",16
"AL033528.2",0
"PAQR7",33
"STMN1",156
"PAFAH2",29
"EXTL1",1
"SLC30A2",0
"TRIM63",0
"PDIK1L",25
"FAM110D",3
"C1orf232",0
"AL391650.1",0
"ZNF593",169
"CNKSR1",1
"CATSPER4",0
"CEP85",26
"SH3BGRL3",180
"UBXN11",43
"CD52",0
"CRYBG2",1
"ZNF683",0
"LIN28A",0
"DHDDS",130
"AL513365.2",0
"HMGN2",176
"RPS6KA1",25
"AL512408.1",2
"ARID1A",147
"PIGV",59
"ZDHHC18",53
"SFN",1
"AL034380.1",0
"GPN2",97
"GPATCH3",51
"NUDC",179
"NR0B2",0
"KDF1",0
"TRNP1",96
"TENT5B",10
"SLC9A1",99
"AL590640.1",0
"WDTC1",69
"TMEM222",106
"SYTL1",2
"MAP3K6",51
"FCN3",0
"CD164L2",0
"GPR3",7
"WASF2",177
"FO393419.2",0
"BX293535.1",0
"AHDC1",99
"FGR",0
"LINC02574",0
"IFI6",83
"AL445490.1",0
"FAM76A",80
"STX12",160
"PPP1R8",121
"THEMIS2",34
"RPA2",86
"SMPDL3B",0
"AL512288.1",0
"XKR8",73
"EYA3",84
"PTAFR",1
"DNAJC8",177
"ATP5IF1",179
"AL353622.1",4
"AL353622.2",0
"SESN2",94
"MED18",49
"PHACTR4",126
"RCC1",85
"TRNAU1AP",138
"SNHG12",53
"TAF12",153
"RAB42",30
"LINC01715",3
"AL360012.1",2
"GMEB1",87
"YTHDF2",171
"OPRD1",0
"AL009181.1",0
"EPB41",49
"TMEM200B",23
"AL357500.1",0
"SRSF4",167
"MECR",127
"AL590729.1",0
"PTPRU",31
"LINC01756",0
"AC092265.1",0
"AL645944.2",0
"LINC01648",0
"AL137076.1",0
"AL161638.2",0
"AL161638.1",0
"MATN1",2
"MATN1-AS1",2
"LAPTM5",12
"AL137027.1",0
"LINC01778",7
"AL445235.1",0
"SDC3",68
"PUM1",165
"NKAIN1",1
"SNRNP40",143
"ZCCHC17",170
"AL451070.1",0
"FABP3",5
"SERINC2",95
"AC114488.1",0
"TINAGL1",76
"HCRTR1",0
"PEF1",155
"AC114488.2",0
"AC114488.3",0
"COL16A1",157
"ADGRB2",67
"AL354919.2",0
"SPOCD1",161
"AL354919.1",0
"AL136115.2",6
"PTP4A2",179
"AL136115.1",0
"AL136115.3",0
"KHDRBS1",178
"AL445248.1",1
"TMEM39B",96
"KPNA6",158
"TXLNA",149
"CCDC28B",157
"AL049795.1",3
"IQCC",5
"DCDC2B",2
"TMEM234",94
"EIF3I",180
"FAM167B",37
"LCK",0
"HDAC1",167
"MARCKSL1",174
"AL109945.1",0
"TSSK3",1
"FAM229A",21
"BSDC1",114
"AL033529.1",0
"ZBTB8B",2
"ZBTB8A",53
"ZBTB8OS",162
"RBBP4",141
"SYNC",110
"AC114489.1",2
"KIAA1522",21
"YARS",175
"S100PBP",114
"FNDC5",5
"HPCA",0
"TMEM54",147
"RNF19B",86
"AL020995.1",0
"AK2",166
"AZIN2",36
"TRIM62",30
