,coexpression_counts
AURKAIP1,180
RPL22,180
PARK7,180
ENO1,180
SRM,180
CAPZB,180
CDC42,180
RPL11,180
CLIC4,180
SH3BGRL3,180
EIF3I,180
PSMB2,180
EVA1B,180
C1orf122,180
NDUFS5,180
YBX1,180
RPS8,180
PRDX1,180
UQCRH,180
SERBP1,180
GNG5,180
RPL5,180
RHOC,180
CSDE1,180
PSMB4,180
S100A10,180
S100A11,180
S100A6,180
S100A13,180
RPS27,180
TPM3,180
SSR2,180
LAMTOR2,180
LMNA,180
CCT3,180
TAGLN2,180
MGST3,180
PRDX6,180
ARPC5,180
CSRP1,180
NUCKS1,180
H3F3A,180
ARF1,180
GUK1,180
TOMM20,180
ACP1,180
PXDN,180
RPS7,180
YWHAQ,180
PDIA6,180
OST4,180
COX7A2L,180
CALM2,180
RTN4,180
RPS27A,180
ACTR2,180
SNRPG,180
CCT7,180
TMSB10,180
COX5B,180
RPL31,180
MZT2B,180
ATP5MC3,180
SUMO1,180
EEF1B2,180
FN1,180
XRCC5,180
RPL37A,180
ARPC2,180
NCL,180
PTMA,180
EIF4E2,180
COPS9,180
BRK1,180
RPL32,180
RPL15,180
RPSA,180
RPL14,180
TMA7,180
RHOA,180
GNAI2,180
MANF,180
RPL29,180
NT5DC2,180
SPCS1,180
TKT,180
ARF4,180
ARL6IP5,180
RPL24,180
FSTL1,180
NDUFB4,180
RNF7,180
PLOD2,180
SERP1,180
SSR3,180
RPL22L1,180
AP2M1,180
PSMD2,180
RPL35A,180
MRFAP1,180
RPL9,180
IGFBP7,180
CXCL8,180
11-Sep,180
CCNI,180
H2AFZ,180
UBE2D3,180
RPL34,180
OSTC,180
C4orf3,180
ANXA5,180
RPS3A,180
NDUFS6,180
BASP1,180
SUB1,180
RPL37,180
GPX8,180
MAP1B,180
BTF3,180
NSA2,180
RPS23,180
VCAN,180
COX7C,180
REEP5,180
LOX,180
HINT1,180
UQCRQ,180
SKP1,180
TGFBI,180
RPS14,180
ANXA6,180
SPARC,180
NPM1,180
ATP6V0E1,180
PRELID1,180
PDLIM7,180
TMED9,180
CANX,180
SQSTM1,180
RACK1,180
HLA-A,180
TUBB,180
HLA-C,180
CLIC1,180
RPS18,180
CUTA,180
UQCC2,180
RPS10,180
RPL10A,180
HSP90AB1,180
EEF1A1,180
COX7A2,180
SNX3,180
MARCKS,180
RPS12,180
SF3B5,180
DYNLT1,180
ACTB,180
RAC1,180
KDELR2,180
NDUFA4,180
TOMM7,180
CYCS,180
HNRNPA2B1,180
TAX1BP1,180
7-Sep,180
PPIA,180
SEC61G,180
CHCHD2,180
HSPB1,180
SRI,180
GNG11,180
COL1A2,180
SEM1,180
BRI3,180
ARPC1A,180
PDAP1,180
ATP5MF,180
COPS6,180
GNB2,180
SERPINE1,180
FIS1,180
POLR2J,180
CALU,180
ATP6V1F,180
CALD1,180
STMP1,180
MTPN,180
NDUFB2,180
SLC25A6,180
CD99,180
TMSB4X,180
SAT1,180
TIMP1,180
RBM3,180
NBDY,180
MSN,180
RPS4X,180
COX7B,180
PGK1,180
BEX3,180
SLC25A5,180
RPL39,180
SSR4,180
RPL10,180
RPS20,180
ASPH,180
RPL7,180
UQCRB,180
MTDH,180
RPL30,180
COX6C,180
PABPC1,180
YWHAZ,180
EEF1D,180
RPL8,180
RPS6,180
VCP,180
TPM2,180
TLN1,180
CLTA,180
ANXA1,180
SEC61B,180
TXN,180
PAPPA,180
PSMB7,180
RPL35,180
HSPA5,180
RPL12,180
RPL7A,180
PHPT1,180
EDF1,180
MRPL41,180
IFITM3,180
RNH1,180
TALDO1,180
RPLP2,180
CD151,180
POLR2L,180
CD81,180
CAVIN3,180
EIF3F,180
RPL27A,180
EIF4G2,180
PSMA1,180
RPS13,180
RCN1,180
CD59,180
SELENOH,180
TMEM258,180
FTH1,180
UBXN1,180
COX8A,180
PPP1R14B,180
TRMT112,180
PRDX5,180
FAU,180
CFL1,180
DRAP1,180
