"","coexpression_counts"
"MIR1302-2HG",0
"FAM138A",0
"OR4F5",0
"AL627309.1",1
"AL627309.3",0
"AL627309.2",0
"AL627309.4",0
"AL732372.1",0
"OR4F29",0
"AC114498.1",0
"OR4F16",0
"AL669831.2",0
"AL669831.5",25
"FAM87B",6
"LINC00115",6
"FAM41C",9
"AL645608.7",1
"AL645608.3",9
"AL645608.5",0
"AL645608.1",25
"SAMD11",62
"NOC2L",80
"KLHL17",16
"PLEKHN1",4
"PERM1",0
"AL645608.8",4
"HES4",83
"ISG15",159
"AL645608.2",0
"AGRN",55
"AL645608.9",0
"RNF223",0
"C1orf159",12
"LINC01342",0
"AL390719.2",0
"TTLL10-AS1",0
"TTLL10",0
"TNFRSF18",1
"TNFRSF4",2
"SDF4",206
"B3GALT6",104
"C1QTNF12",7
"AL162741.1",1
"UBE2J2",131
"LINC01786",0
"SCNN1D",1
"ACAP3",48
"PUSL1",58
"INTS11",69
"CPTP",50
"TAS1R3",0
"DVL1",70
"MXRA8",201
"AURKAIP1",209
"CCNL2",120
"MRPL20",202
"AL391244.3",2
"ANKRD65",6
"AL391244.2",0
"TMEM88B",0
"LINC01770",0
"VWA1",0
"ATAD3C",3
"ATAD3B",40
"ATAD3A",57
"TMEM240",2
"SSU72",207
"AL645728.1",9
"FNDC10",40
"AL691432.2",32
"MIB2",64
"MMP23B",20
"CDK11B",91
"FO704657.1",0
"SLC35E2B",35
"CDK11A",32
"SLC35E2A",39
"NADK",76
"GNB1",187
"AL109917.1",0
"CALML6",0
"TMEM52",0
"CFAP74",0
"AL391845.2",0
"GABRD",0
"AL391845.1",0
"PRKCZ",6
"AL590822.2",0
"PRKCZ-AS1",0
"FAAP20",210
"AL590822.1",0
"SKI",99
"MORN1",6
"RER1",192
"PEX10",83
"PLCH2",0
"AL139246.1",0
"AL139246.4",0
"PANK4",8
"HES5",3
"AL139246.5",4
"TNFRSF14-AS1",2
"TNFRSF14",55
"AL139246.3",0
"FAM213B",32
"MMEL1",1
"AL831784.1",0
"TTC34",1
"AC242022.1",0
"AL592464.2",0
"AL592464.1",0
"AL589702.1",0
"ACTRT2",0
"LINC00982",3
"PRDM16",4
"AL008733.1",0
"AL590438.1",0
"ARHGEF16",0
"AL512413.1",0
"MEGF6",63
"AL513320.1",0
"TPRG1L",97
"WRAP73",23
"TP73",0
"AL136528.1",0
"AL136528.2",0
"CCDC27",0
"SMIM1",8
"LRRC47",77
"AL365330.1",0
"CEP104",55
"DFFB",11
"C1orf174",82
"LINC01134",1
"LINC01346",0
"LINC01345",0
"AL805961.1",0
"AL805961.2",0
"LINC01777",0
"AL355602.1",0
"Z98747.1",0
"LINC01646",0
"AJAP1",0
"BX005132.2",0
"BX005132.1",0
"AL691497.1",0
"AL139823.1",0
"Z98259.3",0
"Z98259.2",0
"Z98259.1",0
"AL365255.1",0
"NPHP4",3
"KCNAB2",23
"CHD5",0
"RPL22",216
"AL031847.1",0
"RNF207",6
"ICMT",118
"LINC00337",0
"HES3",0
"GPR153",30
"ACOT7",106
"AL031848.2",5
"HES2",7
"ESPN",0
"AL031848.1",0
"TNFRSF25",13
"PLEKHG5",39
"NOL9",54
"TAS1R1",0
"ZBTB48",13
"KLHL21",81
"PHF13",38
"THAP3",37
"DNAJC11",22
"LINC01672",0
"AL591163.1",0
"CAMTA1-DT",0
"CAMTA1",208
"AL512330.1",0
"Z97987.1",0
"AL365194.1",0
"AL359881.3",0
"AL359881.2",0
"AL359881.1",0
"VAMP3",175
"PER3",33
"Z98884.1",0
"UTS2",0
"TNFRSF9",0
"PARK7",207
"AL034417.4",0
"AL034417.3",1
"ERRFI1",160
"AL034417.2",1
"LINC01714",0
"AL358876.2",0
"SLC45A1",8
"RERE",130
"AL096855.1",1
"AL357552.2",0
"ENO1",200
"ENO1-AS1",3
"CA6",0
"SLC2A7",0
"SLC2A5",1
"GPR157",3
"MIR34AHG",14
"LINC01759",44
"H6PD",89
"SPSB1",136
"BX323043.1",0
"AL928921.2",5
"AL928921.1",0
"SLC25A33",90
"TMEM201",16
"PIK3CD",14
"PIK3CD-AS1",0
"PIK3CD-AS2",6
"CLSTN1",150
"CTNNBIP1",125
"AL357140.1",0
"LZIC",38
"NMNAT1",20
"RBP7",0
"UBE4B",66
"KIF1B",123
"AL139424.3",0
"AL139424.2",0
"PGD",173
"AL139424.1",0
"CENPS-CORT",4
"CENPS",47
"CORT",1
"DFFA",105
"AL354956.1",0
"PEX14",25
"CASZ1",2
"AL139423.1",0
"C1orf127",0
"TARDBP",104
"AL109811.4",0
"MASP2",0
"AL109811.3",5
"SRM",206
"EXOSC10",34
"AL109811.1",1
"AL109811.2",3
"MTOR",37
"MTOR-AS1",0
"ANGPTL7",0
"UBIAD1",49
"AL031291.1",0
"DISP3",0
"LINC01647",0
"AL031731.1",0
"FBXO2",1
"FBXO44",33
"FBXO6",11
"MAD2L2",117
"DRAXIN",18
"AGTRAP",152
"C1orf167",12
"AL953897.1",0
"MTHFR",77
"CLCN6",51
"NPPA-AS1",7
"NPPA",0
"NPPB",1
"KIAA2013",127
"PLOD1",158
"MFN2",67
"MIIP",42
"TNFRSF8",0
"TNFRSF1B",3
"VPS13D",47
"AC243836.1",0
"DHRS3",178
"AC254633.1",3
"AADACL4",0
"AADACL3",0
"C1orf158",0
"PRAMEF12",0
"PRAMEF1",0
"LINC01784",0
"PRAMEF11",0
"HNRNPCL1",0
"PRAMEF2",0
"PRAMEF4",0
"PRAMEF10",0
"PRAMEF7",0
"PRAMEF6",0
"PRAMEF27",0
"HNRNPCL3",0
"PRAMEF25",0
"HNRNPCL2",0
"AC245056.1",0
"PRAMEF26",0
"HNRNPCL4",0
"PRAMEF9",0
"PRAMEF13",0
"PRAMEF18",0
"PRAMEF5",0
"PRAMEF8",0
"PRAMEF33",0
"PRAMEF15",0
"AC243961.1",0
"PRAMEF14",0
"PRAMEF19",0
"PRAMEF17",0
"PRAMEF20",0
"LRRC38",0
"AL354712.1",0
"PDPN",0
"AL359771.1",0
"PRDM2",65
"KAZN",51
"AL357873.1",0
"KAZN-AS1",0
"TMEM51-AS1",0
"TMEM51",10
"C1orf195",0
"FHAD1",2
"AL031283.2",0
"AL031283.3",0
"AL031283.1",0
"EFHD2",92
"CTRC",0
"CELA2A",0
"CELA2B",0
"CASP9",17
"DNAJC16",68
"AL121992.3",0
"AGMAT",10
"AL121992.1",0
"DDI2",50
"RSC1A1",0
"AL121992.2",1
"PLEKHM2",95
"AL450998.3",0
"SLC25A34",7
"SLC25A34-AS1",5
"TMEM82",0
"FBLIM1",145
"UQCRHL",28
"AL450998.2",22
"SPEN",63
"ZBTB17",30
"SRARP",0
"AL355994.3",0
"HSPB7",83
"CLCNKA",0
"CLCNKB",0
"FAM131C",3
"EPHA2",73
"AL451042.2",0
"AL451042.1",0
"ARHGEF19-AS1",0
"ARHGEF19",21
"CPLANE2",6
"FBXO42",47
"SZRD1",180
"SPATA21",0
"NECAP2",95
"LINC01772",3
"AL137802.2",0
"AL137802.1",0
"LINC01783",0
"NBPF1",23
"AL137798.1",0
"AL137798.2",0
"AL021920.1",0
"AL021920.3",0
"CROCC",23
"BX284668.1",0
"BX284668.2",0
"BX284668.5",66
"BX284668.6",0
"MFAP2",147
"AL049569.1",0
"ATP13A2",57
"SDHB",144
"PADI2",0
"AL590644.1",15
"AL590644.3",0
"PADI1",1
"PADI3",0
"PADI4",0
"PADI6",0
"AC004824.1",0
"RCC2",87
"ARHGEF10L",40
"AL136529.1",0
"ACTL8",0
"AL357509.1",0
"LINC01654",0
"IGSF21",0
"IGSF21-AS1",0
"AL591896.1",0
"KLHDC7A",0
"PAX7",0
"TAS1R2",0
"AL080251.1",0
"ALDH4A1",25
"IFFO2",14
"UBR4",102
"AL035413.1",10
"EMC1",76
"MRTO4",62
"AKR7A3",0
"AKR7A2",158
"PQLC2",38
"CAPZB",209
"AL031727.2",0
"MINOS1",210
"NBL1",206
"MINOS1-NBL1",0
"HTR6",0
"TMCO4",20
"RNF186",0
"AL391883.1",0
"OTUD3",26
"PLA2G2E",0
"PLA2G2A",0
"PLA2G5",0
"PLA2G2D",0
"PLA2G2F",0
"Z98257.1",0
"PLA2G2C",0
"UBXN10-AS1",0
"UBXN10",0
"LINC01757",0
"Z98257.2",0
"VWA5B1",0
"AL020998.1",0
"LINC01141",0
"AL139254.1",0
"AL139254.2",0
"AL139254.3",0
"CAMK2N1",182
"MUL1",53
"FAM43B",0
"CDA",6
"PINK1",92
"PINK1-AS",2
"DDOST",156
"KIF17",1
"SH2D5",11
"AL663074.1",0
"HP1BP3",180
"EIF4G3",97
"ECE1",157
"AL031005.1",0
"AL031728.1",0
"AL592309.2",0
"NBPF3",20
"ALPL",1
"AL359815.1",0
"RAP1GAP",0
"USP48",72
"LDLRAD2",1
"HSPG2",187
"CELA3B",0
"CELA3A",0
"LINC01635",0
"CDC42",199
"AL031281.2",0
"WNT4",0
"ZBTB40",15
"EPHA8",0
"C1QA",0
"C1QC",0
"C1QB",0
"EPHB2",63
"AL512444.1",0
"LACTBL1",0
"TEX46",0
"KDM1A",70
"AL031428.1",0
"LUZP1",138
"HTR1D",0
"LINC01355",4
"AL109936.6",0
"HNRNPR",141
"ZNF436",17
"ZNF436-AS1",35
"AL109936.2",0
"TCEA3",76
"ASAP3",38
"E2F2",1
"AL021154.1",0
"ID3",208
"MDS2",0
"RPL11",217
"ELOA",97
"ELOA-AS1",17
"PITHD1",69
"LYPLA2",79
"GALE",19
"HMGCL",45
"FUCA1",19
"CNR2",0
"AL590609.3",0
"PNRC2",102
"SRSF10",172
"AL591178.1",0
"MYOM3",0
"AL591178.2",0
"IL22RA1",0
"IFNLR1",0
"AL590683.1",0
"AL138902.1",0
"GRHL3",0
"STPG1",13
"NIPAL3",75
"RCAN3",31
"AL445686.2",0
"NCMAP",0
"SRRM1",177
"AL445648.1",0
"CLIC4",213
"RUNX3",0
"AL445471.1",0
"AL445471.2",0
"AL050344.1",0
"AL031432.1",0
"SYF2",172
"AL031432.5",0
"RSRP1",75
"AL031432.3",4
"RHD",0
"TMEM50A",180
"RHCE",6
"MACO1",53
"LDLRAP1",50
"AL606491.1",3
"MAN1C1",4
"AL031280.1",1
"SELENON",140
"AL020996.2",0
"AL020996.1",2
"MTFR1L",115
"AL020996.3",0
"AUNIP",0
"AL033528.2",0
"PAQR7",32
"STMN1",116
"PAFAH2",13
"EXTL1",2
"SLC30A2",0
"TRIM63",0
"PDIK1L",13
"FAM110D",0
"C1orf232",0
"AL391650.1",0
"ZNF593",147
"CNKSR1",1
"CATSPER4",0
"CEP85",4
"SH3BGRL3",217
"UBXN11",17
"CD52",0
"CRYBG2",0
"ZNF683",0
"LIN28A",0
"DHDDS",62
"AL513365.2",0
"HMGN2",212
"RPS6KA1",2
"AL512408.1",1
"ARID1A",120
"PIGV",21
"ZDHHC18",39
"SFN",33
"AL034380.1",0
"GPN2",40
"GPATCH3",28
"NUDC",132
"NR0B2",0
"KDF1",0
"TRNP1",51
"TENT5B",0
"SLC9A1",54
"AL590640.1",0
"WDTC1",50
"TMEM222",80
"SYTL1",1
"MAP3K6",37
"FCN3",0
"CD164L2",0
"GPR3",7
"WASF2",186
"FO393419.2",0
"BX293535.1",1
"AHDC1",35
"FGR",0
"LINC02574",0
"IFI6",72
"AL445490.1",0
"FAM76A",52
"STX12",112
"PPP1R8",63
"THEMIS2",5
"RPA2",30
"SMPDL3B",0
"AL512288.1",0
"XKR8",28
"EYA3",31
"PTAFR",0
"DNAJC8",151
"ATP5IF1",204
"AL353622.1",2
"AL353622.2",0
"SESN2",50
"MED18",5
"PHACTR4",65
"RCC1",69
"TRNAU1AP",55
"SNHG12",23
"TAF12",132
"RAB42",4
"LINC01715",2
"AL360012.1",0
"GMEB1",35
"YTHDF2",164
"OPRD1",0
"AL009181.1",0
"EPB41",45
"TMEM200B",24
"AL357500.1",0
"SRSF4",128
"MECR",57
"AL590729.1",0
"PTPRU",16
"LINC01756",0
"AC092265.1",0
"AL645944.2",0
"LINC01648",0
"AL137076.1",0
"AL161638.2",0
"AL161638.1",0
"MATN1",1
"MATN1-AS1",0
"LAPTM5",0
"AL137027.1",0
"LINC01778",1
"AL445235.1",0
"SDC3",82
"PUM1",125
"NKAIN1",1
"SNRNP40",66
"ZCCHC17",125
"AL451070.1",0
"FABP3",80
"SERINC2",135
"AC114488.1",0
"TINAGL1",50
"HCRTR1",0
"PEF1",100
"AC114488.2",1
"AC114488.3",2
"COL16A1",66
"ADGRB2",19
"AL354919.2",0
"SPOCD1",142
"AL354919.1",0
"AL136115.2",1
"PTP4A2",213
"AL136115.1",0
"AL136115.3",0
"KHDRBS1",158
"AL445248.1",0
"TMEM39B",50
"KPNA6",161
"TXLNA",116
"CCDC28B",100
"AL049795.1",3
"IQCC",3
"DCDC2B",0
"TMEM234",53
"EIF3I",191
"FAM167B",51
"LCK",0
"HDAC1",86
"MARCKSL1",185
"AL109945.1",0
"TSSK3",2
"FAM229A",16
"BSDC1",83
"AL033529.1",0
"ZBTB8B",0
"ZBTB8A",30
"ZBTB8OS",84
"RBBP4",122
"SYNC",90
"AC114489.1",1
"KIAA1522",36
"YARS",105
"S100PBP",35
"FNDC5",1
"HPCA",0
"TMEM54",149
"RNF19B",22
"AL020995.1",0
"AK2",111
"AZIN2",9
"TRIM62",10
