"Gene","Correlation"
"ISLR",1
"ITGA8",0.397483776250123
"AC079145.1",0.392245348299756
"STON1-GTF2A1L",0.392245348299756
"LCN2",0.392245348299756
"TMEM52B",0.392245348299756
"CDH19",0.392245348299756
"CHI3L2",0.392189232580051
"APOD",0.383559246697972
"CCDC177",0.381433415787557
"SMC2-AS1",0.378967523145168
"MXRA5",0.366529499246162
"COL9A2",0.349785031569105
"APOE",0.339368612888432
"CRLF1",0.33779429138468
"RARRES2",0.336193751797305
"DUSP15",0.323643517913765
"AC016252.1",0.314596561957285
"GAS7",0.299565619992294
"LINC02458",0.287962414894569
"TM6SF2",0.286208314558224
"IGF1",0.280997368715813
"NKD2",0.278241757296961
"HHAT",0.278082878908761
"ELN",0.277382524268926
"RAMP1",0.259174073679481
"GPRIN3",0.256737423552508
"AL121583.1",0.249379882563857
"RIMS3",0.248600921288599
"THNSL2",0.242629303718693
"FAM47E",0.239091403163534
"LINC00571",0.237620448454016
"FMOD",0.237314131514082
"AC090826.1",0.233523762019082
"PRRX2",0.222993246001537
"SPRY1",0.222928839569123
"LINC01423",0.21831994491931
"AC022400.6",0.215504352609533
"EGR2",0.215175067646407
"C1QTNF1",0.212491126483045
"COL1A1",0.211429660725032
"COL3A1",0.208640309757483
"LYNX1",0.205978619645912
"TIMP1",0.203758993350563
"AP005205.2",0.202937074928565
"FBLN2",0.199792506908625
"TBX5",0.198405035092619
"HECW1",0.197866309384847
"LINC01602",0.193820712297673
"SERPINF1",0.192719783957431
"COL1A2",0.191280202477378
"CPE",0.189979251523577
"C1S",0.18985691544657
"ANO1",0.189811946250321
"TSC22D1",0.185725532998997
"IQCA1",0.185654299060791
"THY1",0.184707724222804
"COL5A2",0.184504856631881
"C1R",0.184407102911584
"SPARC",0.18020349288399
"LOXL2",0.180097891560376
"PTGDS",0.179763183164089
"TENM2",0.179413393396313
"LMCD1",0.177105738454048
"FN1",0.175192122769619
"PTK7",0.173961287875897
"RBP7",0.173711218313652
"IGFBP6",0.173633867319815
"CYP27A1",0.173467356233645
"SEZ6L2",0.171824341549953
"OLFM2",0.170982220842577
"PRR5",0.170597088106043
"LOX",0.170565159224933
"GPC6",0.170553561739587
"AC010325.1",0.170401814805717
"EDN2",0.169218700479852
"LINC02556",0.169218700479852
"TMEM59L",0.168516716111737
"AC087280.2",0.168087889174892
"LINC00844",0.167844757745802
"DNLZ",0.167655542256848
"LRRC17",0.167502841559624
"MFGE8",0.166921312107165
"OPLAH",0.166843755622625
"BGN",0.166525501674064
"LAPTM4B",0.166378884691821
"THBS2",0.166325215494839
"MRC2",0.166118828953318
"TXNIP",0.165579212624608
"COL5A1",0.165279414862927
"P4HA1",0.165213056939453
"C11orf65",0.16420397627089
"COL6A3",0.163941166034602
"AC009163.7",0.162941988832785
"ACSM3",0.162181006842248
"AC104794.2",0.162142243216744
"WNT5A",0.161171659455734
"CADM1",0.160352243270149
"RNASEK-C17orf49",0.159413784347941
"ART5",0.15897654440632
"AP003086.2",0.15897654440632
"LINC02387",0.15897654440632
"LINC02129",0.15897654440632
"AC120498.10",0.158804918410634
"PHGDH",0.158347457600447
"ZMIZ2",0.157006177034126
"CST3",0.156951222612273
"CTSB",0.156703653806288
"BHLHE41",0.156701910403313
"PLTP",0.156670912551106
"AL356441.1",0.156638990234355
"SOX11",0.155953092066727
"DOC2B",0.1553062430436
"AC005775.1",0.1553062430436
"HTR2A",0.154752899670515
"GXYLT2",0.154745380123417
"MXRA8",0.154731747273295
"SLC45A1",0.154347898245966
"TMEM132A",0.154195786109341
"KLHL35",0.154176853162401
"AC009053.2",0.153906031850015
"RCN3",0.153869708646731
"LOXL1",0.153846248178315
"CD14",0.153843913051365
"ATP2C2",0.153791011579949
"AP005329.2",0.153791011579949
"EXT1",0.153391324754868
"ELOVL3",0.153043259214559
"C16orf86",0.152745586533866
"NNMT",0.152512258094552
"IARS",0.152378174809184
"DHRS3",0.151940681690546
"CYBA",0.151747416999578
"PDZD3",0.151743060923461
"PKDCC",0.1517200042396
"PDGFD",0.150689071488288
"CIART",0.150650539228385
"RABAC1",0.150250643086902
"CDH11",0.14977870003096
"BMP1",0.149516844980831
"CDH13",0.149361852531196
"MINDY4",0.149181824683957
"ZDBF2",0.148902508634481
"COL6A2",0.148833343410363
"SECISBP2L",0.1486824187618
"NDUFA13",0.148538013442856
"ZNF469",0.148448480687844
"KLF9",0.148295955110467
"SLC1A4",0.148016118490937
"PSAT1",0.147752241697233
"BRD3",0.147739603505208
"PCK2",0.147422332161078
"COL6A1",0.147396601585685
"CRTAP",0.147307852217237
"TTC3-AS1",0.147245107337839
"CXXC5",0.147227631267595
"SSR4",0.14710077761763
"RNF165",0.146906882837655
"PTPRN",0.146416111614282
"SLC39A14",0.14504400841788
"SAT1",0.144769969028927
"MFAP4",0.143792780935657
"P4HB",0.143654696092534
"CKAP4",0.143641618010627
"SPOCK1",0.142915515375512
"FSTL1",0.142574161781754
"FBN1",0.142402031849125
"ALOXE3",0.142300230574098
"SQLE",0.142228107378105
"AC112503.2",0.141585053258926
"TMED3",0.141262440257455
"DMKN",0.14116064727044
"SOHLH2",0.140993791943556
"AL122035.1",0.140993791943556
"NPIPB3",0.140993791943556
"HP",0.140993791943556
"P4HA2",0.140959767266058
"CREB3L1",0.140598524140355
"SH3PXD2A",0.140145193972387
"ATP5F1A",0.139449502459862
"HDLBP",0.139196365010239
"LAMP2",0.138765098030623
"AC131254.1",0.138613911331406
"PGLS",0.138476140092232
"BAMBI",0.1382785696241
"IGFBP7",0.138242002301459
"LHX9",0.138166906749851
"LINC00299",0.138166906749851
"KRT7-AS",0.138166906749851
"AC010504.1",0.138166906749851
"FP236383.3",0.138166906749851
"EEF2",0.137992518369138
"SLC7A5",0.137946546190482
"SDC2",0.137906614028181
"AMIGO2",0.1378375514484
"ERGIC3",0.137748202069324
"PLD3",0.137436962419984
"ICAM1",0.137341979092961
"SALL2",0.137214403700039
"MAGEH1",0.137135759283244
"SF3B2",0.137111427120939
"AGPAT1",0.136970370887204
"CALU",0.136942542569523
"CCDC80",0.136925511169268
"LRRC47",0.136799971507888
"EDIL3",0.136566727440367
"MAGED1",0.136534024951535
"AL359094.1",0.136397511690548
"DNAJC1",0.135993109460446
"SURF1",0.135611994428751
"SPINT1",0.135579952289762
"NAV1",0.135373287838422
"CCDC184",0.135361451401094
"HSPB6",0.135201788140924
"MST1",0.134854424957085
"PLOD2",0.134834570566003
"SLC1A5",0.134657449836956
"PIN4",0.134608528174368
"RBP1",0.134571983951959
"LIMA1",0.134303162030043
"AP000866.1",0.13425040377703
"TIMM8B",0.134227746316333
"NPTN",0.134031368227542
"PXDN",0.133943892811238
"DDX1",0.1339192664579
"AC024896.1",0.133588519888833
"PAFAH1B2",0.133351551715078
"METRN",0.133300347384941
"KDELR1",0.133192678836654
"LTBP1",0.132892477957168
"BSG",0.132876102992303
"SLC35E1",0.132873578230331
"CDON",0.132775139419027
"SOX9",0.132686090245789
"SRRM3",0.132652376173284
"COL12A1",0.132640981158778
"LGALS8",0.132347269080466
"ADAM12",0.132032550429783
