"Gene","Correlation"
"ISLR",1
"ITGA8",0.397483776250123
"AC079145.1",0.392245348299756
"STON1-GTF2A1L",0.392245348299756
"LCN2",0.392245348299756
"TMEM52B",0.392245348299756
"CDH19",0.392245348299756
"CHI3L2",0.392189232580051
"APOD",0.383559246697972
"CCDC177",0.381433415787557
"SMC2-AS1",0.378967523145168
"MXRA5",0.366529499246162
"COL9A2",0.349785031569105
"APOE",0.339368612888432
"CRLF1",0.33779429138468
"RARRES2",0.336193751797305
"DUSP15",0.323643517913765
"AC016252.1",0.314596561957285
"GAS7",0.299565619992294
"LINC02458",0.287962414894569
