"Gene","Correlation"
"ISLR",1
"SERPINE2",0.398197370922752
"THBS2",0.37874820084166
"FBLN2",0.377873220943042
"CCDC80",0.368414187058049
"BGN",0.342618565876763
"PTGIS",0.330664528569444
"HSPB6",0.329013788929653
"CEMIP",0.326409644997277
"LRP1",0.323280589718982
"CRYAB",0.311097612460101
"HTRA1",0.300331737145124
"C1orf198",0.293649052902365
"OLFML3",0.291079134724818
"GABARAP",0.290312554995913
"ITGBL1",0.289416913212562
"HEG1",0.28886371210965
"CLIC3",0.285889451680594
"NUPR1",0.284910656361272
"DCN",0.282165427350148
"COX7A1",0.281333666524697
"C6orf48",0.280248418744293
"MFGE8",0.279463657115713
"IGFBP3",0.279212450852651
"COL1A1",0.278390929336335
"FBLN1",0.278006044307517
"SNHG18",0.276816621433205
"TIMP3",0.271918786787411
"MXRA8",0.269666970765797
"LUM",0.269213973655688
"ROMO1",0.268339651150969
"PLAC9",0.266437965660781
"SLIT3",0.26638907982495
"POLD4",0.2663851077327
"IGFBP4",0.265617907438487
"PDLIM2",0.265394028704779
"CYBRD1",0.263028155453854
"GAS6",0.261844536812395
"NFIX",0.260256795912057
"CHPF",0.259943705114048
"RPS17",0.259384255554094
"ADIRF",0.257201165848953
"MEGF6",0.256738656387879
"CLU",0.255938342641806
"LMO7",0.255633692512855
"KLF4",0.254651109754743
"THY1",0.254551584099092
"SULF1",0.254207446879927
"DPYSL2",0.252693092569806
"LOXL1",0.252485612149643
"TOMM7",0.250689188976326
"RPL36A",0.248820136615199
"COL1A2",0.248753885698969
"CXXC5",0.247972575666913
"PAM",0.247727744035789
"NR4A1",0.247636683575277
"PDGFRA",0.246583468755581
"NDUFB1",0.242421076517655
"UQCR11",0.242336054497612
"RPS27",0.241896795852336
"CPA4",0.241704433445353
"LBH",0.241487034697408
"TIMP2",0.240768956930686
"ARID5B",0.239907276334909
"TPD52L1",0.23771063769378
"MYH10",0.236405755887469
"CDH11",0.236265594712269
"ATP5ME",0.235434321445129
"C1S",0.235193017272774
"LMO4",0.234807368709026
"MFAP4",0.234646762971016
"RPL17",0.23352329276845
"HSPB2",0.233263290881268
"GLS",0.233111872482351
"IFITM3",0.232827012388392
"SEMA5A",0.232502091072286
"ITGA11",0.231796133651162
"IGFBP2",0.230984091513155
"PPIC",0.230123129584261
"ID4",0.228967729057351
"A1BG",0.228212155767588
"FOS",0.227545897282017
"F3",0.226835904344572
"LY6E",0.226381493002307
"COL3A1",0.225665517552767
"MIR4458HG",0.225631063912292
"FSTL1",0.224554931493103
"FN1",0.224507051516791
"S100A4",0.224362592488698
"SPARC",0.224278924214364
"MRC2",0.224129172585153
"CRABP2",0.223853090839746
"HSPB7",0.223786868510183
"CNN3",0.223539067088646
"CAMK2D",0.222996283674564
"TMEM200A",0.222738478713776
"SERPINF1",0.222657344789653
"SESN3",0.222528708334689
"TMEM45A",0.222259108365595
"SLC14A1",0.221579630400103
"ZFAS1",0.221522802502901
"FKBP10",0.22086215591597
"MIF",0.220833574932561
"PPDPF",0.220778065179328
"GPC1",0.220244210221536
"CST3",0.219994577498655
"EFEMP2",0.219991648067212
"AMOTL2",0.219196549584163
"RPS28",0.218875531471345
"CDKN1A",0.218260402717189
"SNHG9",0.217869667132116
"C9orf3",0.217605385748207
"TNFRSF11B",0.21716771919844
"COL5A1",0.216922588403872
"RDH10",0.216516520304315
"NENF",0.216506184480891
"RBMS3",0.215703971642525
"DUSP1",0.215436458963432
"BHLHE40",0.215175394523279
"POLR2L",0.215146890275565
"RPS29",0.214921404181605
"SPOCK1",0.214684036458243
"ELOB",0.214582720386386
"MGARP",0.214317317673894
"C1R",0.213391476947861
"IGFBP6",0.213301337143681
"PRNP",0.212977992532763
"SERF2",0.212842224121092
"LTBP3",0.212787033321097
"GPR1",0.212393615556025
"PRR16",0.212337780016102
"NBL1",0.211092231431739
"COPZ2",0.210634624685373
"C1QTNF1",0.210298559952696
"RPL31",0.210243904150985
"TAGLN",0.210125118694756
"LTC4S",0.209900932207266
"NEO1",0.209729215600764
"ID2",0.209495647619041
"FBLN5",0.208917043755427
"PRSS23",0.208414601658585
"VGLL3",0.208313214418594
"IFITM2",0.208064191616459
"LINC01503",0.208025457708881
"CERCAM",0.208024742555113
"BST1",0.207734030043818
"RNASEK",0.207724853910446
"ZFP36",0.20756615659788
